COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
L&TFH,2021-07-01,93.25,93.6,92.45,92.75,92.7
L&TFH,2021-07-02,92.7,93.25,92.2,92.4,92.35
L&TFH,2021-07-05,92.85,93.7,92.45,93.45,93.35
L&TFH,2021-07-06,93.7,94.7,92.6,92.6,92.9
L&TFH,2021-07-07,92.9,93.5,92.3,93.4,93.3
L&TFH,2021-07-08,93.5,94.35,91.7,92.4,92.45
L&TFH,2021-07-09,92.45,93.4,91.4,92.85,93.0
L&TFH,2021-07-12,93.9,94.3,92.7,93.1,93.15
L&TFH,2021-07-13,93.9,94.1,93.0,93.9,93.85
L&TFH,2021-07-14,93.95,95.8,93.85,94.65,94.7
L&TFH,2021-07-15,95.05,95.65,94.3,95.1,95.1
L&TFH,2021-07-16,95.6,95.75,93.8,94.65,94.9
L&TFH,2021-07-19,93.0,94.0,89.9,90.55,90.55
L&TFH,2021-07-20,90.55,91.05,87.5,87.55,87.65
L&TFH,2021-07-20,90.55,91.05,87.5,87.55,87.65
L&TFH,2021-07-22,88.8,89.1,87.45,88.1,87.9
L&TFH,2021-07-23,88.7,88.9,88.0,88.25,88.25
L&TFH,2021-07-26,88.4,89.4,87.5,87.85,87.7
L&TFH,2021-07-27,88.05,89.0,87.25,88.15,88.1
L&TFH,2021-07-28,88.3,88.4,85.85,86.35,86.35
