COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
LFIC,2021-07-01,77.5,81.9,77.5,80.75,80.75
LFIC,2021-07-02,82.95,82.95,80.0,80.4,80.4
LFIC,2021-07-05,79.35,87.25,79.35,82.45,81.85
LFIC,2021-07-06,81.0,84.45,77.2,81.0,80.0
LFIC,2021-07-07,78.5,81.4,78.5,81.4,80.5
LFIC,2021-07-08,80.25,81.55,78.4,78.4,79.55
LFIC,2021-07-09,79.55,81.55,79.55,80.05,80.4
LFIC,2021-07-12,80.05,81.8,80.05,80.55,80.45
LFIC,2021-07-13,84.1,84.15,79.2,82.35,81.85
LFIC,2021-07-14,82.55,83.25,81.1,81.1,81.25
LFIC,2021-07-15,82.45,82.45,81.05,81.25,81.05
LFIC,2021-07-16,80.05,80.6,78.25,79.35,79.7
LFIC,2021-07-19,82.85,82.85,80.0,80.4,80.85
LFIC,2021-07-20,80.8,82.0,78.4,82.0,79.85
LFIC,2021-07-20,80.8,82.0,78.4,82.0,79.85
LFIC,2021-07-22,80.4,81.9,80.0,80.0,80.05
LFIC,2021-07-23,81.85,81.85,79.4,80.9,80.85
LFIC,2021-07-26,84.5,84.5,80.55,82.3,82.1
LFIC,2021-07-27,82.1,83.65,80.05,80.15,80.3
LFIC,2021-07-28,80.05,80.05,78.55,78.6,79.25
