COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
LICHSGFIN,2021-07-01,470.7,475.3,468.7,470.8,470.25
LICHSGFIN,2021-07-02,470.95,473.2,464.5,466.3,465.8
LICHSGFIN,2021-07-05,467.95,473.9,467.8,471.5,471.55
LICHSGFIN,2021-07-06,471.4,473.8,465.55,466.75,466.55
LICHSGFIN,2021-07-07,466.0,468.1,462.0,465.0,464.65
LICHSGFIN,2021-07-08,465.0,470.15,459.5,460.7,461.2
LICHSGFIN,2021-07-09,460.15,461.05,454.15,455.9,455.75
LICHSGFIN,2021-07-12,459.9,467.85,457.2,462.5,461.8
LICHSGFIN,2021-07-13,464.5,464.6,456.1,461.8,461.9
LICHSGFIN,2021-07-14,462.0,472.75,461.1,471.55,471.55
LICHSGFIN,2021-07-15,474.1,474.7,468.5,470.05,470.0
LICHSGFIN,2021-07-16,472.3,472.75,467.6,468.0,468.5
LICHSGFIN,2021-07-19,465.0,466.0,458.0,461.0,460.75
LICHSGFIN,2021-07-20,460.0,461.3,452.4,453.05,453.65
LICHSGFIN,2021-07-20,460.0,461.3,452.4,453.05,453.65
LICHSGFIN,2021-07-22,455.5,460.35,454.0,456.8,457.4
LICHSGFIN,2021-07-23,457.4,461.9,453.1,454.0,454.5
LICHSGFIN,2021-07-26,454.0,455.95,441.0,442.3,442.65
LICHSGFIN,2021-07-27,444.0,448.5,440.45,444.0,443.85
LICHSGFIN,2021-07-28,444.95,444.95,430.15,434.35,433.05
