COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
LIKHITHA,2021-07-01,408.7,413.15,404.0,407.85,406.0
LIKHITHA,2021-07-02,408.7,427.0,408.5,423.0,422.15
LIKHITHA,2021-07-05,427.0,458.2,427.0,440.0,439.45
LIKHITHA,2021-07-06,440.35,446.35,422.2,426.2,425.85
LIKHITHA,2021-07-07,421.85,446.4,421.85,437.0,439.05
LIKHITHA,2021-07-08,440.9,450.0,425.65,428.0,427.7
LIKHITHA,2021-07-09,426.95,436.95,425.0,426.45,428.5
LIKHITHA,2021-07-12,431.0,434.05,420.6,422.9,424.2
LIKHITHA,2021-07-13,426.0,431.95,419.4,420.2,420.45
LIKHITHA,2021-07-14,423.25,425.7,416.35,421.1,421.55
LIKHITHA,2021-07-15,423.0,432.55,421.4,425.1,425.3
LIKHITHA,2021-07-16,426.95,426.95,421.0,422.4,422.05
LIKHITHA,2021-07-19,416.0,422.5,408.0,409.65,409.45
LIKHITHA,2021-07-20,407.55,412.0,398.6,403.0,402.55
LIKHITHA,2021-07-20,407.55,412.0,398.6,403.0,402.55
LIKHITHA,2021-07-22,406.8,417.85,404.0,409.7,407.65
LIKHITHA,2021-07-23,409.95,416.2,405.0,410.0,409.25
LIKHITHA,2021-07-26,410.0,411.65,403.0,403.75,403.85
LIKHITHA,2021-07-27,406.65,413.95,404.15,408.0,406.05
LIKHITHA,2021-07-28,407.95,407.95,400.6,404.4,402.2
