COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
LODHA,2021-07-01,689.75,694.85,678.0,681.85,681.55
LODHA,2021-07-02,687.75,687.75,668.5,675.0,676.2
LODHA,2021-07-05,684.9,688.0,665.35,671.0,670.95
LODHA,2021-07-06,673.0,676.75,645.0,652.95,650.85
LODHA,2021-07-07,655.0,672.45,655.0,663.0,664.25
LODHA,2021-07-08,671.9,702.0,668.05,690.3,687.85
LODHA,2021-07-09,684.25,789.0,677.05,782.2,772.65
LODHA,2021-07-12,790.0,815.8,775.65,792.55,790.45
LODHA,2021-07-13,798.0,798.0,769.65,772.0,778.35
LODHA,2021-07-14,775.05,826.95,775.05,790.15,791.1
LODHA,2021-07-15,790.15,839.0,772.0,832.9,829.45
LODHA,2021-07-16,837.1,872.5,825.25,850.0,852.6
LODHA,2021-07-19,824.0,847.7,821.0,827.3,831.8
LODHA,2021-07-20,831.5,835.55,788.0,792.2,793.2
LODHA,2021-07-20,831.5,835.55,788.0,792.2,793.2
LODHA,2021-07-22,805.9,867.0,801.95,850.0,856.25
LODHA,2021-07-23,849.0,853.95,831.1,839.0,844.85
LODHA,2021-07-26,841.95,854.8,832.2,838.0,843.45
LODHA,2021-07-27,847.7,885.0,835.95,871.55,877.0
LODHA,2021-07-28,879.0,879.0,816.05,860.0,853.15
