COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
LUXIND,2021-07-01,3588.45,3875.45,3585.4,3761.0,3776.7
LUXIND,2021-07-02,3789.0,3838.8,3698.0,3708.1,3703.4
LUXIND,2021-07-05,3736.0,3767.95,3698.0,3700.25,3722.75
LUXIND,2021-07-06,3728.45,3845.0,3710.0,3774.0,3770.25
LUXIND,2021-07-07,3789.9,3838.0,3740.0,3752.0,3759.95
LUXIND,2021-07-08,3778.0,3780.1,3660.05,3686.4,3691.8
LUXIND,2021-07-09,3709.9,3746.35,3681.55,3707.0,3721.35
LUXIND,2021-07-12,3734.0,3735.4,3645.0,3672.3,3657.95
LUXIND,2021-07-13,3684.0,3700.35,3610.0,3651.0,3647.8
LUXIND,2021-07-14,3677.0,3700.0,3610.0,3699.0,3680.4
LUXIND,2021-07-15,3726.85,3726.85,3631.0,3648.3,3651.15
LUXIND,2021-07-16,3651.15,3721.0,3611.05,3650.0,3681.7
LUXIND,2021-07-19,3650.0,3770.0,3643.45,3650.0,3670.45
LUXIND,2021-07-20,3672.0,3718.0,3611.5,3714.95,3683.0
LUXIND,2021-07-20,3672.0,3718.0,3611.5,3714.95,3683.0
LUXIND,2021-07-22,3740.0,3964.0,3715.1,3892.0,3884.45
LUXIND,2021-07-23,3925.0,4125.0,3925.0,4050.0,4049.25
LUXIND,2021-07-26,4081.0,4298.95,4081.0,4230.0,4238.3
LUXIND,2021-07-27,4293.0,4350.0,4056.3,4090.0,4126.6
LUXIND,2021-07-28,4057.0,4199.0,3985.35,4147.85,4134.85
