COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
M&M,2021-07-01,778.0,798.75,774.9,779.65,779.45
M&M,2021-07-02,786.0,787.3,777.0,784.0,782.6
M&M,2021-07-05,786.0,793.5,784.5,790.6,791.75
M&M,2021-07-06,790.6,795.0,778.7,781.85,781.9
M&M,2021-07-07,777.8,781.9,768.55,779.2,778.9
M&M,2021-07-08,777.95,787.6,771.0,776.1,776.25
M&M,2021-07-09,772.0,776.0,767.0,772.8,771.55
M&M,2021-07-12,776.0,781.0,768.5,771.5,772.85
M&M,2021-07-13,777.9,782.2,773.65,781.8,781.15
M&M,2021-07-14,780.0,787.0,777.05,785.9,786.15
M&M,2021-07-15,781.0,783.95,775.2,780.0,779.9
M&M,2021-07-16,784.0,784.0,776.5,780.45,779.8
M&M,2021-07-19,775.8,780.7,770.0,776.9,775.8
M&M,2021-07-20,775.0,775.7,752.35,760.0,760.2
M&M,2021-07-20,775.0,775.7,752.35,760.0,760.2
M&M,2021-07-22,764.2,767.1,755.65,758.25,758.45
M&M,2021-07-23,758.5,767.85,758.25,764.4,764.2
M&M,2021-07-26,763.0,764.1,752.5,755.85,754.3
M&M,2021-07-27,756.0,760.0,742.65,747.2,745.55
M&M,2021-07-28,750.7,750.7,724.65,729.95,728.7
