COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
MAHASTEEL,2021-07-01,93.45,94.65,92.65,93.05,93.9
MAHASTEEL,2021-07-02,96.0,96.0,93.1,94.9,94.4
MAHASTEEL,2021-07-05,95.7,95.7,87.5,88.85,89.5
MAHASTEEL,2021-07-06,90.6,92.85,90.0,90.5,90.35
MAHASTEEL,2021-07-07,91.7,93.6,90.1,91.8,91.9
MAHASTEEL,2021-07-08,91.9,92.95,90.75,91.0,91.5
MAHASTEEL,2021-07-09,91.7,92.25,90.0,91.5,91.75
MAHASTEEL,2021-07-12,93.0,93.5,90.25,90.25,90.75
MAHASTEEL,2021-07-13,90.75,91.7,89.8,90.0,90.0
MAHASTEEL,2021-07-14,90.0,90.0,88.2,89.15,89.25
MAHASTEEL,2021-07-15,90.1,90.45,88.5,89.65,89.7
MAHASTEEL,2021-07-16,90.0,90.0,88.0,89.9,89.45
MAHASTEEL,2021-07-19,89.45,89.8,88.5,88.5,88.55
MAHASTEEL,2021-07-20,89.95,90.85,86.6,88.6,86.85
MAHASTEEL,2021-07-20,89.95,90.85,86.6,88.6,86.85
MAHASTEEL,2021-07-22,86.5,104.2,86.5,104.2,102.05
MAHASTEEL,2021-07-23,109.15,115.0,105.85,107.85,108.3
MAHASTEEL,2021-07-26,108.9,119.0,106.35,115.5,115.6
MAHASTEEL,2021-07-27,116.9,119.35,111.0,112.0,112.0
MAHASTEEL,2021-07-28,112.9,114.8,104.25,108.4,108.0
