COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
MAHESHWARI,2021-07-01,105.2,107.65,105.2,106.9,106.2
MAHESHWARI,2021-07-02,107.4,107.5,90.35,101.95,101.95
MAHESHWARI,2021-07-05,102.2,107.0,102.2,103.1,103.1
MAHESHWARI,2021-07-06,105.4,105.8,100.0,100.95,101.95
MAHESHWARI,2021-07-07,103.55,105.6,102.65,105.5,105.0
MAHESHWARI,2021-07-08,103.2,105.45,102.85,104.65,103.55
MAHESHWARI,2021-07-09,105.5,109.0,103.25,106.2,106.65
MAHESHWARI,2021-07-12,104.0,115.0,104.0,112.5,111.7
MAHESHWARI,2021-07-13,114.0,114.0,110.05,113.45,113.25
MAHESHWARI,2021-07-14,114.0,114.45,112.05,112.2,112.85
MAHESHWARI,2021-07-15,114.9,114.9,110.1,111.45,111.05
MAHESHWARI,2021-07-16,113.85,113.85,104.0,105.0,105.9
MAHESHWARI,2021-07-19,110.1,113.45,106.25,110.95,110.75
MAHESHWARI,2021-07-20,112.45,112.45,106.0,109.0,108.8
MAHESHWARI,2021-07-20,112.45,112.45,106.0,109.0,108.8
MAHESHWARI,2021-07-22,113.0,113.0,107.0,107.05,108.1
MAHESHWARI,2021-07-23,109.7,110.75,107.0,107.75,107.35
MAHESHWARI,2021-07-26,107.45,109.45,96.55,105.7,105.55
MAHESHWARI,2021-07-27,106.35,107.45,105.0,105.0,105.2
MAHESHWARI,2021-07-28,107.4,107.4,101.0,101.75,102.65
