COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
MAJESCO,2021-07-01,93.1,93.35,90.3,92.2,91.7
MAJESCO,2021-07-02,92.2,93.0,90.8,92.0,91.6
MAJESCO,2021-07-05,95.0,95.0,91.5,92.45,92.0
MAJESCO,2021-07-06,92.0,92.85,88.6,89.35,89.3
MAJESCO,2021-07-07,91.0,91.0,88.6,90.0,89.55
MAJESCO,2021-07-08,89.55,91.9,89.1,90.05,89.9
MAJESCO,2021-07-09,90.1,92.9,88.3,91.8,91.65
MAJESCO,2021-07-12,92.5,93.15,90.25,91.0,90.6
MAJESCO,2021-07-13,90.6,91.35,90.3,90.55,90.45
MAJESCO,2021-07-14,90.0,91.8,90.0,91.25,91.45
MAJESCO,2021-07-15,92.45,96.0,91.0,94.2,94.0
MAJESCO,2021-07-16,94.95,95.0,90.35,92.25,91.85
MAJESCO,2021-07-19,90.85,92.6,90.0,90.7,90.4
MAJESCO,2021-07-20,90.5,91.4,88.6,90.3,89.95
MAJESCO,2021-07-20,90.5,91.4,88.6,90.3,89.95
MAJESCO,2021-07-22,90.1,92.0,89.8,90.5,90.2
MAJESCO,2021-07-23,90.0,92.5,89.65,90.75,90.9
MAJESCO,2021-07-26,93.0,94.5,92.0,92.85,93.05
MAJESCO,2021-07-27,93.65,95.0,91.55,92.0,92.2
MAJESCO,2021-07-28,93.2,93.2,89.5,90.5,90.4
