COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
MANAPPURAM,2021-07-01,169.35,169.6,166.15,167.3,167.25
MANAPPURAM,2021-07-02,168.35,173.8,167.0,173.15,173.1
MANAPPURAM,2021-07-05,173.95,177.25,172.3,176.15,176.65
MANAPPURAM,2021-07-06,176.3,179.3,175.1,176.0,176.45
MANAPPURAM,2021-07-07,176.5,179.4,175.0,177.35,177.3
MANAPPURAM,2021-07-08,177.3,179.35,173.5,174.5,174.5
MANAPPURAM,2021-07-09,174.4,178.4,173.0,177.6,177.6
MANAPPURAM,2021-07-12,179.5,185.7,177.05,185.2,183.75
MANAPPURAM,2021-07-13,185.6,186.95,183.0,184.2,185.05
MANAPPURAM,2021-07-14,185.05,188.0,184.35,185.8,186.05
MANAPPURAM,2021-07-15,186.75,189.85,185.65,188.7,188.8
MANAPPURAM,2021-07-16,189.85,190.85,186.6,187.05,186.95
MANAPPURAM,2021-07-19,186.0,188.15,184.55,185.9,186.2
MANAPPURAM,2021-07-20,186.0,186.25,181.7,182.3,182.85
MANAPPURAM,2021-07-20,186.0,186.25,181.7,182.3,182.85
MANAPPURAM,2021-07-22,184.55,199.9,184.2,196.85,196.45
MANAPPURAM,2021-07-23,198.3,198.4,191.65,194.35,195.45
MANAPPURAM,2021-07-26,195.0,197.05,191.5,193.85,194.35
MANAPPURAM,2021-07-27,196.5,211.4,194.6,209.25,209.5
MANAPPURAM,2021-07-28,208.9,213.5,205.5,207.5,208.35
