COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
MANGALAM,2021-07-01,147.05,151.5,143.0,144.0,144.15
MANGALAM,2021-07-02,145.2,150.85,143.7,150.0,149.15
MANGALAM,2021-07-05,150.9,166.9,150.1,161.8,162.15
MANGALAM,2021-07-06,162.65,172.5,160.0,167.75,167.45
MANGALAM,2021-07-07,166.85,167.35,161.05,162.35,161.85
MANGALAM,2021-07-08,163.8,174.0,161.55,172.55,171.95
MANGALAM,2021-07-09,173.0,178.0,169.0,170.3,170.35
MANGALAM,2021-07-12,172.6,172.6,165.1,166.5,166.65
MANGALAM,2021-07-13,169.95,176.7,167.0,170.0,171.3
MANGALAM,2021-07-14,172.45,172.7,165.65,167.5,166.9
MANGALAM,2021-07-15,167.5,172.5,165.1,168.95,166.8
MANGALAM,2021-07-16,169.0,171.3,165.25,165.55,165.8
MANGALAM,2021-07-19,160.0,165.8,160.0,165.5,165.1
MANGALAM,2021-07-20,168.5,173.95,162.9,166.5,165.05
MANGALAM,2021-07-20,168.5,173.95,162.9,166.5,165.05
MANGALAM,2021-07-22,168.2,172.7,166.05,167.5,167.9
MANGALAM,2021-07-23,168.7,170.3,166.0,167.2,169.0
MANGALAM,2021-07-26,170.0,192.5,166.15,190.45,188.5
MANGALAM,2021-07-27,191.5,196.95,183.0,188.7,190.8
MANGALAM,2021-07-28,191.5,191.7,180.25,183.6,183.35
