COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
MANINDS,2021-07-01,108.5,111.0,107.55,108.7,108.55
MANINDS,2021-07-02,110.0,110.5,107.7,108.15,108.3
MANINDS,2021-07-05,108.05,117.35,107.75,114.5,114.45
MANINDS,2021-07-06,115.25,116.35,109.05,111.8,110.95
MANINDS,2021-07-07,111.8,113.35,109.35,112.0,111.7
MANINDS,2021-07-08,112.95,114.0,109.0,109.9,109.95
MANINDS,2021-07-09,110.95,113.05,110.0,110.9,110.4
MANINDS,2021-07-12,112.25,114.4,111.0,111.7,112.0
MANINDS,2021-07-13,113.5,113.5,111.0,112.0,112.2
MANINDS,2021-07-14,113.0,115.4,111.3,112.8,112.25
MANINDS,2021-07-15,113.0,113.0,110.0,110.45,110.25
MANINDS,2021-07-16,111.85,121.55,110.7,117.2,117.75
MANINDS,2021-07-19,116.2,123.65,115.6,122.0,122.15
MANINDS,2021-07-20,123.0,124.15,117.2,120.25,120.95
MANINDS,2021-07-20,123.0,124.15,117.2,120.25,120.95
MANINDS,2021-07-22,121.8,126.8,121.5,122.95,124.4
MANINDS,2021-07-23,124.0,127.05,121.25,126.3,126.15
MANINDS,2021-07-26,126.6,129.6,124.3,128.95,128.5
MANINDS,2021-07-27,130.0,145.7,129.5,140.2,141.5
MANINDS,2021-07-28,140.5,140.85,132.5,135.9,134.75
