COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
MANINFRA,2021-07-01,58.2,61.0,57.75,58.4,58.3
MANINFRA,2021-07-02,58.5,59.7,57.85,58.45,58.45
MANINFRA,2021-07-05,58.85,62.75,57.9,62.45,62.3
MANINFRA,2021-07-06,64.5,65.2,62.45,62.6,62.95
MANINFRA,2021-07-07,62.6,63.35,62.0,62.25,62.05
MANINFRA,2021-07-08,62.5,63.4,59.7,60.65,60.7
MANINFRA,2021-07-09,60.0,61.5,59.75,60.25,60.2
MANINFRA,2021-07-12,59.45,62.8,59.45,61.0,61.0
MANINFRA,2021-07-13,62.4,62.4,59.75,59.9,60.55
MANINFRA,2021-07-14,60.0,62.6,59.2,59.4,59.65
MANINFRA,2021-07-15,59.95,62.15,57.1,57.6,57.55
MANINFRA,2021-07-16,58.45,60.9,57.55,60.9,60.45
MANINFRA,2021-07-19,59.25,62.65,58.5,62.5,62.35
MANINFRA,2021-07-20,62.8,63.65,58.75,60.85,61.15
MANINFRA,2021-07-20,62.8,63.65,58.75,60.85,61.15
MANINFRA,2021-07-22,62.0,66.5,62.0,65.45,65.4
MANINFRA,2021-07-23,65.4,67.4,63.0,65.75,65.95
MANINFRA,2021-07-26,65.5,69.7,65.0,68.9,68.4
MANINFRA,2021-07-27,68.95,70.7,65.2,66.45,66.5
MANINFRA,2021-07-28,66.4,67.3,64.5,66.15,66.2
