COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
MARICO,2021-07-01,532.0,540.0,530.25,535.0,534.9
MARICO,2021-07-02,534.9,539.6,517.65,522.5,519.85
MARICO,2021-07-05,526.0,531.95,519.0,530.6,530.55
MARICO,2021-07-06,530.0,531.6,523.6,528.4,526.3
MARICO,2021-07-07,528.5,534.0,524.0,534.0,532.45
MARICO,2021-07-08,534.0,538.5,525.5,528.45,527.15
MARICO,2021-07-09,528.45,537.0,528.45,533.2,531.95
MARICO,2021-07-12,534.05,537.25,530.6,532.0,531.65
MARICO,2021-07-13,533.0,539.4,528.3,532.0,531.35
MARICO,2021-07-14,532.0,535.3,528.45,531.15,532.05
MARICO,2021-07-15,539.0,549.6,530.6,535.8,534.3
MARICO,2021-07-16,537.1,537.1,522.3,526.95,524.7
MARICO,2021-07-19,521.95,531.0,521.05,526.4,526.0
MARICO,2021-07-20,528.4,533.65,525.85,530.95,529.9
MARICO,2021-07-20,528.4,533.65,525.85,530.95,529.9
MARICO,2021-07-22,534.95,537.7,525.05,530.8,529.2
MARICO,2021-07-23,532.0,537.35,528.2,533.9,533.95
MARICO,2021-07-26,533.9,540.8,532.1,537.5,537.0
MARICO,2021-07-27,537.9,540.35,531.5,535.0,535.2
MARICO,2021-07-28,537.85,538.7,528.3,529.55,530.15
