COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
MAZDOCK,2021-07-01,244.9,248.8,243.55,245.1,245.35
MAZDOCK,2021-07-02,246.3,249.5,243.8,245.4,246.05
MAZDOCK,2021-07-05,247.4,257.6,247.3,256.7,256.1
MAZDOCK,2021-07-06,257.0,257.95,249.15,249.95,249.95
MAZDOCK,2021-07-07,249.9,251.2,246.05,248.25,249.0
MAZDOCK,2021-07-08,249.35,251.05,241.5,243.25,242.9
MAZDOCK,2021-07-09,243.75,250.4,243.05,248.0,247.8
MAZDOCK,2021-07-12,249.7,254.5,245.5,246.0,247.3
MAZDOCK,2021-07-13,248.0,250.0,246.35,247.0,247.45
MAZDOCK,2021-07-14,247.65,254.2,246.7,250.75,251.25
MAZDOCK,2021-07-15,253.3,265.75,252.1,263.1,263.7
MAZDOCK,2021-07-16,266.0,268.9,258.8,259.4,260.3
MAZDOCK,2021-07-19,258.0,263.0,256.0,260.0,257.95
MAZDOCK,2021-07-20,259.4,261.6,250.45,253.6,253.0
MAZDOCK,2021-07-20,259.4,261.6,250.45,253.6,253.0
MAZDOCK,2021-07-22,260.0,271.8,255.6,269.8,270.5
MAZDOCK,2021-07-23,272.65,273.3,262.05,264.5,263.4
MAZDOCK,2021-07-26,263.35,264.4,257.0,258.0,257.95
MAZDOCK,2021-07-27,258.9,261.85,251.5,253.7,253.6
MAZDOCK,2021-07-28,255.0,258.05,250.25,254.7,255.1
