COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
MHRIL,2021-07-01,251.9,252.4,248.15,249.7,249.55
MHRIL,2021-07-02,249.5,263.05,249.4,262.0,259.25
MHRIL,2021-07-05,264.1,287.0,260.15,284.95,283.45
MHRIL,2021-07-06,287.0,309.0,282.5,284.25,284.65
MHRIL,2021-07-07,287.0,308.0,286.0,303.5,304.3
MHRIL,2021-07-08,305.4,305.4,290.1,296.3,295.65
MHRIL,2021-07-09,295.0,296.2,288.65,293.7,293.15
MHRIL,2021-07-12,295.15,305.65,293.5,296.4,296.6
MHRIL,2021-07-13,299.35,337.0,298.8,331.4,327.7
MHRIL,2021-07-14,330.0,338.65,327.15,332.25,335.4
MHRIL,2021-07-15,333.6,334.35,315.25,320.0,319.85
MHRIL,2021-07-16,320.0,330.0,318.1,320.0,324.6
MHRIL,2021-07-19,319.0,320.3,306.6,312.25,313.6
MHRIL,2021-07-20,311.0,314.7,298.25,303.25,304.55
MHRIL,2021-07-20,311.0,314.7,298.25,303.25,304.55
MHRIL,2021-07-22,307.45,313.95,306.05,309.6,310.15
MHRIL,2021-07-23,310.05,338.9,302.7,324.9,324.3
MHRIL,2021-07-26,324.95,329.95,315.0,321.0,318.9
MHRIL,2021-07-27,320.45,326.2,309.7,313.0,312.75
MHRIL,2021-07-28,314.0,325.0,302.65,322.0,319.6
