COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
MINDACORP,2021-07-01,128.0,129.1,125.4,125.45,126.0
MINDACORP,2021-07-02,126.2,128.0,125.25,126.0,125.8
MINDACORP,2021-07-05,131.7,131.7,127.65,129.05,128.85
MINDACORP,2021-07-06,130.95,130.95,126.45,127.2,126.8
MINDACORP,2021-07-07,127.5,130.9,127.3,128.35,128.3
MINDACORP,2021-07-08,129.35,130.0,125.05,125.8,125.5
MINDACORP,2021-07-09,126.0,127.35,125.3,127.0,126.85
MINDACORP,2021-07-12,127.75,129.0,125.8,126.4,126.3
MINDACORP,2021-07-13,128.6,138.0,127.2,137.35,137.0
MINDACORP,2021-07-14,138.4,140.75,134.0,135.9,135.6
MINDACORP,2021-07-15,135.9,147.35,134.5,145.4,145.2
MINDACORP,2021-07-16,145.2,148.1,142.0,143.35,143.1
MINDACORP,2021-07-19,141.0,143.8,137.15,139.2,138.8
MINDACORP,2021-07-20,138.0,138.75,130.0,132.55,133.9
MINDACORP,2021-07-20,138.0,138.75,130.0,132.55,133.9
MINDACORP,2021-07-22,134.7,138.65,134.65,135.75,136.35
MINDACORP,2021-07-23,137.3,137.3,132.6,133.0,133.25
MINDACORP,2021-07-26,132.8,136.8,132.15,133.85,133.65
MINDACORP,2021-07-27,134.7,139.4,134.05,134.8,135.0
MINDACORP,2021-07-28,135.6,135.8,130.0,132.5,132.4
