COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
MIRZAINT,2021-07-01,53.65,55.5,53.65,54.0,54.1
MIRZAINT,2021-07-02,54.1,54.8,53.45,53.8,53.65
MIRZAINT,2021-07-05,54.05,54.8,53.75,54.45,54.35
MIRZAINT,2021-07-06,54.45,57.9,54.15,55.0,55.1
MIRZAINT,2021-07-07,55.2,56.5,54.1,54.7,54.45
MIRZAINT,2021-07-08,54.8,56.15,54.15,54.6,54.5
MIRZAINT,2021-07-09,54.5,55.5,54.1,54.65,54.7
MIRZAINT,2021-07-12,55.0,56.1,54.3,54.45,54.5
MIRZAINT,2021-07-13,55.0,55.9,54.4,54.8,54.6
MIRZAINT,2021-07-14,54.85,57.0,54.6,55.35,55.35
MIRZAINT,2021-07-15,55.95,56.35,54.2,55.0,55.1
MIRZAINT,2021-07-16,55.4,58.4,54.6,56.8,56.65
MIRZAINT,2021-07-19,55.9,57.6,55.55,56.5,56.45
MIRZAINT,2021-07-20,56.8,56.8,54.6,55.85,55.65
MIRZAINT,2021-07-20,56.8,56.8,54.6,55.85,55.65
MIRZAINT,2021-07-22,56.1,59.75,56.1,58.9,59.05
MIRZAINT,2021-07-23,59.6,64.0,59.6,63.75,63.05
MIRZAINT,2021-07-26,65.6,68.7,63.75,66.85,66.8
MIRZAINT,2021-07-27,68.35,69.4,63.65,65.0,65.35
MIRZAINT,2021-07-28,63.6,64.3,61.1,61.9,61.9
