COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
MMP,2021-07-01,101.15,116.9,101.15,114.05,114.75
MMP,2021-07-02,117.45,128.0,113.0,123.5,123.15
MMP,2021-07-05,126.5,127.0,119.0,120.0,120.55
MMP,2021-07-06,120.6,123.5,113.1,115.7,115.3
MMP,2021-07-07,117.65,117.8,113.35,115.0,114.3
MMP,2021-07-08,112.0,122.05,112.0,118.9,118.6
MMP,2021-07-09,119.9,123.0,117.05,119.5,120.8
MMP,2021-07-12,123.7,123.7,118.0,119.1,118.55
MMP,2021-07-13,118.05,129.95,118.05,129.0,128.25
MMP,2021-07-14,133.0,139.35,129.0,135.5,136.05
MMP,2021-07-15,134.5,140.0,132.0,140.0,138.0
MMP,2021-07-16,142.0,148.0,138.1,138.8,139.55
MMP,2021-07-19,139.55,141.95,136.0,138.0,137.55
MMP,2021-07-20,139.8,141.8,131.1,132.55,133.2
MMP,2021-07-20,139.8,141.8,131.1,132.55,133.2
MMP,2021-07-22,134.9,144.7,132.5,136.15,134.5
MMP,2021-07-23,144.0,148.05,136.0,137.2,137.05
MMP,2021-07-26,138.8,150.8,138.25,146.3,146.45
MMP,2021-07-27,150.95,163.7,147.05,155.7,154.6
MMP,2021-07-28,154.05,161.0,146.55,149.0,148.45
