COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
MOKSH,2021-07-01,99.35,99.35,94.05,97.0,97.2
MOKSH,2021-07-02,97.0,99.25,96.75,97.35,97.45
MOKSH,2021-07-05,98.45,102.0,97.6,102.0,100.8
MOKSH,2021-07-06,102.0,120.0,101.95,116.5,115.5
MOKSH,2021-07-07,122.0,123.85,111.85,115.25,115.2
MOKSH,2021-07-08,117.5,118.5,115.0,118.0,117.65
MOKSH,2021-07-09,119.85,123.3,115.1,119.0,118.4
MOKSH,2021-07-12,118.05,122.65,117.3,120.9,120.35
MOKSH,2021-07-13,122.0,122.0,118.1,120.8,120.4
MOKSH,2021-07-14,24.45,25.0,24.0,24.8,24.55
MOKSH,2021-07-15,24.95,26.0,24.9,25.65,25.6
MOKSH,2021-07-16,25.65,26.5,25.0,26.0,26.1
MOKSH,2021-07-19,26.4,26.75,25.8,26.75,26.55
MOKSH,2021-07-20,27.3,27.3,26.25,27.0,26.95
MOKSH,2021-07-20,27.3,27.3,26.25,27.0,26.95
MOKSH,2021-07-22,27.15,27.3,26.8,27.3,27.2
MOKSH,2021-07-23,27.5,27.5,27.1,27.45,27.45
MOKSH,2021-07-26,27.8,28.5,27.0,28.5,28.45
MOKSH,2021-07-27,29.7,29.7,28.45,29.0,28.95
MOKSH,2021-07-28,29.45,29.45,28.5,29.1,29.25
