COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
MOLDTKPAC,2021-07-01,484.9,516.5,479.1,482.6,483.2
MOLDTKPAC,2021-07-02,487.9,488.4,480.0,485.8,485.85
MOLDTKPAC,2021-07-05,489.0,496.6,485.0,486.0,486.55
MOLDTKPAC,2021-07-06,493.05,529.0,493.05,508.0,503.6
MOLDTKPAC,2021-07-07,517.9,517.9,500.0,502.0,503.2
MOLDTKPAC,2021-07-08,507.25,510.7,501.5,510.0,507.15
MOLDTKPAC,2021-07-09,509.9,512.9,500.15,505.0,507.2
MOLDTKPAC,2021-07-12,513.85,523.45,510.2,512.65,515.9
MOLDTKPAC,2021-07-13,519.95,523.7,514.4,520.1,520.2
MOLDTKPAC,2021-07-14,523.7,546.0,520.25,529.75,530.75
MOLDTKPAC,2021-07-15,535.0,541.0,518.25,520.0,520.2
MOLDTKPAC,2021-07-16,530.0,530.0,514.6,522.45,520.25
MOLDTKPAC,2021-07-19,529.7,529.7,516.45,522.0,521.55
MOLDTKPAC,2021-07-20,522.0,524.25,500.35,512.95,512.0
MOLDTKPAC,2021-07-20,522.0,524.25,500.35,512.95,512.0
MOLDTKPAC,2021-07-22,519.95,534.1,519.2,521.2,522.05
MOLDTKPAC,2021-07-23,522.1,529.7,522.1,525.0,525.2
MOLDTKPAC,2021-07-26,530.0,535.45,518.55,520.05,520.5
MOLDTKPAC,2021-07-27,523.0,527.55,503.35,513.0,509.4
MOLDTKPAC,2021-07-28,510.2,537.7,502.75,504.1,510.45
