COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
MOM50,2021-07-01,158.38,158.38,154.0,155.6,154.62
MOM50,2021-07-02,156.77,157.9,154.47,154.71,154.71
MOM50,2021-07-05,155.0,157.11,155.0,156.95,156.89
MOM50,2021-07-06,154.32,158.45,154.32,156.88,156.07
MOM50,2021-07-07,154.25,157.8,154.25,156.41,156.71
MOM50,2021-07-08,158.0,158.0,154.71,155.92,154.97
MOM50,2021-07-09,157.75,157.75,154.35,155.93,155.95
MOM50,2021-07-12,156.07,156.83,154.77,155.8,155.26
MOM50,2021-07-13,158.85,158.85,155.3,157.0,156.97
MOM50,2021-07-14,159.95,159.95,155.0,157.37,157.53
MOM50,2021-07-15,156.0,158.0,155.54,157.64,157.06
MOM50,2021-07-16,158.8,158.9,157.1,157.7,157.7
MOM50,2021-07-19,160.3,160.3,154.86,156.33,156.24
MOM50,2021-07-20,155.95,155.95,153.95,154.84,153.98
MOM50,2021-07-20,155.95,155.95,153.95,154.84,153.98
MOM50,2021-07-22,151.25,156.95,151.25,156.95,156.03
MOM50,2021-07-23,156.75,156.99,155.95,156.32,156.37
MOM50,2021-07-26,157.0,157.65,156.27,157.0,156.93
MOM50,2021-07-27,158.85,158.85,155.06,156.31,156.26
MOM50,2021-07-28,156.3,156.3,153.33,154.91,156.02
