COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
MONTECARLO,2021-07-01,333.65,339.2,329.1,331.0,330.25
MONTECARLO,2021-07-02,331.05,341.6,322.0,323.1,323.65
MONTECARLO,2021-07-05,324.0,332.95,323.2,325.0,324.65
MONTECARLO,2021-07-06,328.65,366.9,327.0,342.5,343.45
MONTECARLO,2021-07-07,343.0,346.45,334.05,336.7,335.55
MONTECARLO,2021-07-08,338.25,359.9,336.05,343.7,343.2
MONTECARLO,2021-07-09,343.2,357.0,335.55,348.95,350.65
MONTECARLO,2021-07-12,350.65,363.4,347.0,353.2,354.55
MONTECARLO,2021-07-13,359.0,368.0,357.0,358.95,360.75
MONTECARLO,2021-07-14,360.75,378.55,356.0,363.8,364.05
MONTECARLO,2021-07-15,368.0,374.95,364.0,367.8,368.5
MONTECARLO,2021-07-16,370.3,375.0,366.2,368.0,368.4
MONTECARLO,2021-07-19,368.4,368.4,355.2,361.6,362.95
MONTECARLO,2021-07-20,361.8,363.2,345.3,349.0,350.75
MONTECARLO,2021-07-20,361.8,363.2,345.3,349.0,350.75
MONTECARLO,2021-07-22,356.0,364.0,352.0,356.1,356.3
MONTECARLO,2021-07-23,360.0,362.2,352.5,354.9,353.4
MONTECARLO,2021-07-26,350.65,357.95,346.1,349.45,347.1
MONTECARLO,2021-07-27,347.0,355.55,346.2,348.0,347.55
MONTECARLO,2021-07-28,353.0,380.0,343.4,367.5,366.0
