COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
MRO-TEK,2021-07-01,31.9,33.0,31.0,33.0,32.0
MRO-TEK,2021-07-02,30.25,34.7,30.25,33.8,34.05
MRO-TEK,2021-07-05,35.0,35.0,32.3,32.8,33.2
MRO-TEK,2021-07-06,34.5,36.5,32.9,34.75,34.75
MRO-TEK,2021-07-07,36.1,36.2,34.0,34.2,34.3
MRO-TEK,2021-07-08,35.85,35.85,32.65,33.95,32.9
MRO-TEK,2021-07-09,34.95,35.8,32.7,33.9,33.65
MRO-TEK,2021-07-12,32.8,34.9,32.8,32.8,32.9
MRO-TEK,2021-07-13,34.5,34.5,32.65,33.0,32.95
MRO-TEK,2021-07-14,34.45,34.45,32.6,33.4,33.1
MRO-TEK,2021-07-15,34.5,34.5,32.6,33.4,32.8
MRO-TEK,2021-07-16,32.6,33.9,32.6,32.7,32.95
MRO-TEK,2021-07-19,34.15,34.15,32.05,34.1,33.3
MRO-TEK,2021-07-20,32.9,34.1,32.2,34.1,34.0
MRO-TEK,2021-07-20,32.9,34.1,32.2,34.1,34.0
MRO-TEK,2021-07-22,34.85,35.65,32.6,32.65,32.9
MRO-TEK,2021-07-23,35.0,35.0,32.6,34.0,34.15
MRO-TEK,2021-07-26,33.95,34.6,33.6,33.7,33.65
MRO-TEK,2021-07-27,33.05,34.95,32.9,34.0,34.0
MRO-TEK,2021-07-28,34.05,35.0,33.1,33.2,33.5
