COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
MURUDCERA,2021-07-01,28.05,30.0,27.6,29.15,29.1
MURUDCERA,2021-07-02,29.4,29.4,28.2,28.65,28.6
MURUDCERA,2021-07-05,29.25,29.35,28.1,28.7,28.45
MURUDCERA,2021-07-06,29.0,29.25,28.2,28.3,28.3
MURUDCERA,2021-07-07,28.4,29.95,28.15,28.85,28.7
MURUDCERA,2021-07-08,29.0,29.05,28.05,28.45,28.15
MURUDCERA,2021-07-09,28.35,28.35,25.6,28.0,27.85
MURUDCERA,2021-07-12,28.4,30.3,28.2,29.95,29.85
MURUDCERA,2021-07-13,30.6,33.45,29.9,32.2,32.2
MURUDCERA,2021-07-14,32.2,32.4,30.4,30.55,30.65
MURUDCERA,2021-07-15,30.8,32.7,30.65,31.35,31.6
MURUDCERA,2021-07-16,31.95,32.2,31.05,31.05,31.1
MURUDCERA,2021-07-19,30.5,31.7,30.3,30.6,30.4
MURUDCERA,2021-07-20,30.5,31.7,29.65,29.85,30.0
MURUDCERA,2021-07-20,30.5,31.7,29.65,29.85,30.0
MURUDCERA,2021-07-22,31.5,31.5,30.05,30.5,30.25
MURUDCERA,2021-07-23,30.5,30.5,29.45,29.7,29.55
MURUDCERA,2021-07-26,29.55,30.35,29.2,29.75,29.65
MURUDCERA,2021-07-27,29.75,30.2,28.0,28.75,28.35
MURUDCERA,2021-07-28,28.0,29.2,27.25,28.75,28.35
