COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
MUTHOOTCAP,2021-07-01,401.0,401.0,392.0,393.0,393.2
MUTHOOTCAP,2021-07-02,390.2,399.0,390.2,395.0,396.5
MUTHOOTCAP,2021-07-05,405.0,410.4,398.65,410.4,407.4
MUTHOOTCAP,2021-07-06,412.45,440.0,408.15,424.9,420.5
MUTHOOTCAP,2021-07-07,419.8,427.0,413.0,418.9,415.4
MUTHOOTCAP,2021-07-08,424.9,424.9,410.0,410.15,412.4
MUTHOOTCAP,2021-07-09,410.2,414.8,406.0,410.9,410.0
MUTHOOTCAP,2021-07-12,410.0,429.9,410.0,415.0,415.6
MUTHOOTCAP,2021-07-13,421.0,422.65,415.95,416.5,418.2
MUTHOOTCAP,2021-07-14,423.0,423.0,414.2,417.05,418.1
MUTHOOTCAP,2021-07-15,419.7,423.0,411.0,415.9,413.55
MUTHOOTCAP,2021-07-16,419.8,419.8,409.0,410.55,412.3
MUTHOOTCAP,2021-07-19,410.0,418.95,405.0,407.0,408.2
MUTHOOTCAP,2021-07-20,413.0,413.0,399.25,405.0,403.0
MUTHOOTCAP,2021-07-20,413.0,413.0,399.25,405.0,403.0
MUTHOOTCAP,2021-07-22,411.0,464.8,405.4,457.25,455.6
MUTHOOTCAP,2021-07-23,463.45,496.0,462.0,472.0,472.05
MUTHOOTCAP,2021-07-26,481.0,485.0,452.45,463.0,464.9
MUTHOOTCAP,2021-07-27,465.0,476.85,454.95,456.5,458.0
MUTHOOTCAP,2021-07-28,458.0,464.9,443.75,451.5,449.45
