COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
NAHARINDUS,2021-07-01,85.2,85.45,81.75,82.6,82.15
NAHARINDUS,2021-07-02,82.05,84.5,81.95,84.0,83.9
NAHARINDUS,2021-07-05,84.2,88.05,84.05,88.05,87.95
NAHARINDUS,2021-07-06,88.95,92.3,88.15,90.1,89.8
NAHARINDUS,2021-07-07,92.6,94.2,87.05,92.0,91.9
NAHARINDUS,2021-07-08,95.95,95.95,90.0,93.0,92.25
NAHARINDUS,2021-07-09,94.1,95.45,90.3,93.75,93.45
NAHARINDUS,2021-07-12,94.4,96.0,93.95,95.4,95.4
NAHARINDUS,2021-07-13,96.5,98.5,95.15,97.0,97.2
NAHARINDUS,2021-07-14,98.35,99.7,96.9,99.0,98.7
NAHARINDUS,2021-07-15,98.1,103.6,98.1,103.0,103.05
NAHARINDUS,2021-07-16,106.0,108.2,103.95,108.2,108.2
NAHARINDUS,2021-07-19,110.0,113.6,110.0,113.6,112.85
