COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
NELCO,2021-07-01,377.0,377.4,353.2,354.0,354.9
NELCO,2021-07-02,356.0,382.0,355.25,377.35,375.3
NELCO,2021-07-05,379.5,409.0,377.3,402.95,400.85
NELCO,2021-07-06,405.6,405.6,380.35,386.15,384.55
NELCO,2021-07-07,380.0,390.9,372.1,382.5,383.3
NELCO,2021-07-08,379.85,389.85,367.65,375.15,376.3
NELCO,2021-07-09,377.65,398.25,377.65,389.8,391.05
NELCO,2021-07-12,395.8,397.7,383.0,387.0,386.0
NELCO,2021-07-13,388.4,396.5,380.0,383.5,384.3
NELCO,2021-07-14,381.0,386.25,371.0,374.0,374.25
NELCO,2021-07-15,375.25,391.6,375.25,382.4,381.05
NELCO,2021-07-16,383.5,390.0,377.5,380.0,379.65
NELCO,2021-07-19,379.8,391.0,374.35,378.5,378.85
NELCO,2021-07-20,381.7,382.0,366.9,371.8,373.3
NELCO,2021-07-20,381.7,382.0,366.9,371.8,373.3
NELCO,2021-07-22,376.45,384.8,371.5,373.0,372.6
NELCO,2021-07-23,374.7,376.4,361.0,362.95,362.6
NELCO,2021-07-26,363.0,368.9,354.85,365.55,364.3
NELCO,2021-07-27,369.55,384.95,366.6,378.1,377.55
NELCO,2021-07-28,387.0,387.0,370.0,378.8,378.45
