COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
NETF,2021-07-01,194.62,194.62,194.62,194.62,194.62
NETF,2021-07-02,194.29,194.29,190.0,194.29,194.29
NETF,2021-07-05,193.8,193.8,190.0,190.0,191.31
NETF,2021-07-06,194.3,194.3,191.0,194.3,194.3
NETF,2021-07-07,191.0,195.69,191.0,195.69,195.69
NETF,2021-07-08,195.48,195.48,195.48,195.48,195.48
NETF,2021-07-09,196.23,196.23,195.48,196.23,196.23
NETF,2021-07-12,194.42,194.42,194.42,194.42,194.42
NETF,2021-07-13,193.96,193.96,193.96,193.96,193.96
NETF,2021-07-14,193.99,193.99,193.99,193.99,193.99
NETF,2021-07-15,195.45,195.45,195.45,195.45,195.45
NETF,2021-07-16,195.98,195.98,195.98,195.98,195.98
NETF,2021-07-19,191.0,196.89,191.0,196.89,196.89
NETF,2021-07-20,196.89,196.89,190.99,196.89,196.89
NETF,2021-07-20,196.89,196.89,190.99,196.89,196.89
NETF,2021-07-22,194.78,194.78,194.78,194.78,194.78
NETF,2021-07-23,193.3,193.3,193.3,193.3,193.3
NETF,2021-07-26,195.66,195.66,193.0,195.66,195.66
NETF,2021-07-27,196.09,196.09,196.09,196.09,196.09
NETF,2021-07-28,195.7,195.7,191.0,195.0,195.0
