COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
NETFIT,2021-07-01,30.24,30.24,29.4,29.47,29.47
NETFIT,2021-07-02,30.65,30.65,29.16,29.48,29.46
NETFIT,2021-07-05,29.46,29.73,29.36,29.5,29.41
NETFIT,2021-07-06,29.78,29.85,29.01,29.19,29.11
NETFIT,2021-07-07,29.4,29.4,28.87,29.25,29.18
NETFIT,2021-07-08,29.63,29.63,29.0,29.2,29.16
NETFIT,2021-07-09,29.21,29.27,28.96,29.12,29.09
NETFIT,2021-07-12,30.24,30.24,28.88,28.99,28.94
NETFIT,2021-07-13,29.0,29.14,28.81,28.92,28.88
NETFIT,2021-07-14,28.81,29.69,28.81,29.61,29.65
NETFIT,2021-07-15,29.68,30.24,29.44,30.12,30.09
NETFIT,2021-07-16,30.35,31.0,29.73,29.82,29.78
NETFIT,2021-07-19,30.11,30.35,29.61,29.74,29.71
NETFIT,2021-07-20,29.82,29.82,29.41,29.6,29.59
NETFIT,2021-07-20,29.82,29.82,29.41,29.6,29.59
NETFIT,2021-07-22,30.11,30.19,29.59,30.14,30.09
NETFIT,2021-07-23,30.98,30.98,30.02,30.34,30.33
NETFIT,2021-07-26,30.3,30.9,30.1,30.5,30.49
NETFIT,2021-07-27,30.6,30.89,30.25,30.46,30.42
NETFIT,2021-07-28,30.6,30.6,30.1,30.53,30.49
