COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
NETFNV20,2021-07-01,88.8,88.8,87.13,87.99,87.93
NETFNV20,2021-07-02,88.8,88.8,87.37,87.79,87.77
NETFNV20,2021-07-05,88.5,90.56,87.63,90.56,88.42
NETFNV20,2021-07-06,89.79,89.79,87.3,87.59,87.57
NETFNV20,2021-07-07,88.1,88.8,86.96,87.19,87.29
NETFNV20,2021-07-08,88.2,88.2,86.5,87.34,87.12
NETFNV20,2021-07-09,86.2,87.8,86.2,87.12,87.12
NETFNV20,2021-07-12,85.5,88.0,85.5,87.05,87.04
NETFNV20,2021-07-13,88.0,88.0,86.53,86.53,86.6
NETFNV20,2021-07-14,87.69,87.94,87.0,87.93,87.92
NETFNV20,2021-07-15,88.0,88.78,86.55,88.18,88.22
NETFNV20,2021-07-16,88.42,89.4,88.01,88.7,88.49
NETFNV20,2021-07-19,89.8,89.8,87.61,88.3,88.3
NETFNV20,2021-07-20,89.8,89.8,87.05,87.81,87.84
NETFNV20,2021-07-20,89.8,89.8,87.05,87.81,87.84
NETFNV20,2021-07-22,88.49,89.4,86.72,88.9,88.87
NETFNV20,2021-07-23,88.87,89.78,88.1,88.88,88.78
NETFNV20,2021-07-26,89.8,90.2,88.07,88.79,88.53
NETFNV20,2021-07-27,88.53,89.9,87.55,88.48,87.99
NETFNV20,2021-07-28,88.99,88.99,87.54,88.43,88.43
