COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
NETWORK18,2021-07-01,50.15,52.6,49.35,50.9,50.85
NETWORK18,2021-07-02,51.5,51.95,50.45,50.6,50.65
NETWORK18,2021-07-05,51.0,52.25,50.7,51.25,51.35
NETWORK18,2021-07-06,51.35,52.2,49.3,50.1,49.95
NETWORK18,2021-07-07,49.95,53.25,49.5,52.7,52.55
NETWORK18,2021-07-08,52.6,55.25,51.75,52.45,52.35
NETWORK18,2021-07-09,52.1,53.3,51.85,52.35,52.45
NETWORK18,2021-07-12,53.0,53.8,52.4,53.35,52.8
NETWORK18,2021-07-13,53.35,53.4,50.8,51.4,51.25
NETWORK18,2021-07-14,51.55,52.15,50.8,51.5,51.3
NETWORK18,2021-07-15,51.65,52.7,51.2,52.05,52.0
NETWORK18,2021-07-16,52.4,52.6,50.8,51.5,51.45
NETWORK18,2021-07-19,51.15,52.15,50.9,51.55,51.45
NETWORK18,2021-07-20,51.1,51.9,49.5,50.2,50.05
NETWORK18,2021-07-20,51.1,51.9,49.5,50.2,50.05
NETWORK18,2021-07-22,52.8,53.5,50.8,51.1,51.05
NETWORK18,2021-07-23,51.5,51.55,49.8,50.2,50.05
NETWORK18,2021-07-26,50.4,50.75,49.0,49.0,49.7
NETWORK18,2021-07-27,49.6,50.4,49.5,50.2,50.1
NETWORK18,2021-07-28,50.4,50.7,48.8,50.45,50.25
