COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
NH,2021-07-01,493.0,494.0,475.05,478.5,476.9
NH,2021-07-02,480.9,482.95,475.1,478.5,477.25
NH,2021-07-05,480.0,482.35,471.45,474.25,473.1
NH,2021-07-06,474.3,482.4,473.5,480.0,479.65
NH,2021-07-07,483.0,484.5,476.0,476.0,479.3
NH,2021-07-08,476.0,482.8,475.9,479.0,477.7
NH,2021-07-09,482.0,498.0,476.6,482.0,483.45
NH,2021-07-12,488.0,508.1,487.0,505.0,504.5
NH,2021-07-13,507.0,532.2,504.65,521.0,522.95
NH,2021-07-14,522.0,532.0,518.1,525.1,528.25
NH,2021-07-15,527.0,530.0,512.0,517.45,515.7
NH,2021-07-16,517.45,519.5,501.0,504.95,504.3
NH,2021-07-19,504.0,504.0,490.0,491.45,491.0
NH,2021-07-20,493.0,506.8,485.0,492.05,496.2
NH,2021-07-20,493.0,506.8,485.0,492.05,496.2
NH,2021-07-22,499.7,503.0,490.2,493.0,494.9
NH,2021-07-23,497.4,507.0,492.1,499.8,500.2
NH,2021-07-26,496.0,504.25,490.05,492.6,492.2
NH,2021-07-27,494.1,501.1,491.0,494.0,493.35
NH,2021-07-28,497.55,512.0,486.35,508.15,508.75
