COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
NIITLTD,2021-07-01,289.0,291.7,284.1,291.5,290.15
NIITLTD,2021-07-02,293.0,316.6,290.0,313.0,313.7
NIITLTD,2021-07-05,314.0,319.4,304.25,305.55,306.4
NIITLTD,2021-07-06,307.0,312.65,286.0,290.0,289.0
NIITLTD,2021-07-07,289.0,297.0,286.35,289.8,290.5
NIITLTD,2021-07-08,289.0,297.65,286.3,290.7,291.05
NIITLTD,2021-07-09,289.0,293.45,285.55,287.6,287.3
NIITLTD,2021-07-12,289.4,296.0,288.75,291.75,290.75
NIITLTD,2021-07-13,293.1,293.35,287.25,288.8,288.45
NIITLTD,2021-07-14,290.0,295.6,288.6,291.7,291.4
NIITLTD,2021-07-15,292.5,301.35,290.75,294.0,293.55
NIITLTD,2021-07-16,295.75,296.2,289.05,290.95,291.0
NIITLTD,2021-07-19,287.95,293.7,281.35,284.05,283.95
NIITLTD,2021-07-20,286.7,286.9,276.1,281.6,281.5
NIITLTD,2021-07-20,286.7,286.9,276.1,281.6,281.5
NIITLTD,2021-07-22,283.8,299.0,283.75,296.8,295.75
NIITLTD,2021-07-23,298.0,299.4,290.25,290.75,291.35
NIITLTD,2021-07-26,289.65,296.4,289.65,294.15,293.35
NIITLTD,2021-07-27,295.3,311.0,290.1,307.5,307.9
NIITLTD,2021-07-28,309.55,318.25,304.3,311.05,311.25
