COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
NILAINFRA,2021-07-01,6.05,6.2,6.0,6.1,6.05
NILAINFRA,2021-07-02,6.0,6.15,6.0,6.15,6.05
NILAINFRA,2021-07-05,6.1,6.65,6.05,6.65,6.65
NILAINFRA,2021-07-06,7.2,7.25,6.8,6.95,6.95
NILAINFRA,2021-07-07,6.65,7.35,6.6,6.7,6.7
NILAINFRA,2021-07-08,6.65,7.15,6.65,6.8,6.85
NILAINFRA,2021-07-09,7.0,7.1,6.8,6.95,6.95
NILAINFRA,2021-07-12,7.1,7.15,6.65,6.75,6.75
NILAINFRA,2021-07-13,6.8,6.9,6.45,6.6,6.55
NILAINFRA,2021-07-14,6.65,6.65,6.05,6.35,6.3
NILAINFRA,2021-07-15,6.4,6.9,6.25,6.9,6.8
NILAINFRA,2021-07-16,7.0,7.15,6.7,6.75,6.75
NILAINFRA,2021-07-19,6.65,7.0,6.5,6.55,6.5
NILAINFRA,2021-07-20,6.6,6.65,6.3,6.45,6.4
NILAINFRA,2021-07-20,6.6,6.65,6.3,6.45,6.4
NILAINFRA,2021-07-22,6.5,7.0,6.35,6.85,6.8
NILAINFRA,2021-07-23,6.95,7.05,6.55,6.65,6.65
NILAINFRA,2021-07-26,6.75,6.8,6.55,6.6,6.6
NILAINFRA,2021-07-27,6.7,6.7,6.35,6.6,6.45
NILAINFRA,2021-07-28,6.45,6.7,6.15,6.55,6.5
