COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
NRBBEARING,2021-07-01,141.2,148.5,139.5,145.0,144.85
NRBBEARING,2021-07-02,145.5,149.7,143.1,143.5,144.9
NRBBEARING,2021-07-05,145.95,151.5,145.1,148.5,148.0
NRBBEARING,2021-07-06,149.7,149.7,143.05,144.55,144.35
NRBBEARING,2021-07-07,145.35,152.15,143.25,146.75,146.9
NRBBEARING,2021-07-08,147.75,148.25,144.65,147.4,147.0
NRBBEARING,2021-07-09,147.0,154.4,145.55,147.0,147.05
NRBBEARING,2021-07-12,148.0,149.0,144.6,145.6,145.3
NRBBEARING,2021-07-13,146.75,148.05,141.75,144.0,143.05
NRBBEARING,2021-07-14,144.0,144.95,140.0,141.05,140.7
NRBBEARING,2021-07-15,140.7,144.2,140.7,141.55,141.8
NRBBEARING,2021-07-16,142.0,144.95,141.0,143.0,142.6
NRBBEARING,2021-07-19,142.0,143.5,140.6,141.8,141.5
NRBBEARING,2021-07-20,141.6,142.35,134.05,137.5,137.55
NRBBEARING,2021-07-20,141.6,142.35,134.05,137.5,137.55
NRBBEARING,2021-07-22,141.0,143.8,138.1,141.15,141.4
NRBBEARING,2021-07-23,142.65,146.4,139.05,141.4,141.55
NRBBEARING,2021-07-26,141.35,141.35,136.9,137.7,137.25
NRBBEARING,2021-07-27,138.45,139.25,135.5,136.55,136.45
NRBBEARING,2021-07-28,137.2,142.25,134.6,139.15,140.1
