COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
NTPC,2021-07-01,116.8,117.8,115.7,117.45,117.35
NTPC,2021-07-02,117.55,119.05,117.0,117.85,117.5
NTPC,2021-07-05,117.9,119.1,117.25,118.55,118.6
NTPC,2021-07-06,118.1,118.95,117.05,117.65,117.65
NTPC,2021-07-07,117.05,118.2,116.85,117.35,117.45
NTPC,2021-07-08,117.35,118.7,117.2,117.25,117.45
NTPC,2021-07-09,117.0,118.4,116.25,118.0,117.8
NTPC,2021-07-12,118.0,118.75,117.15,117.75,117.85
NTPC,2021-07-13,118.15,122.0,118.1,119.75,119.9
NTPC,2021-07-14,119.95,120.95,119.8,120.7,120.75
NTPC,2021-07-15,120.75,121.2,119.2,120.1,120.3
NTPC,2021-07-16,120.15,120.8,118.3,119.4,119.1
NTPC,2021-07-19,119.1,121.85,118.5,121.5,121.4
NTPC,2021-07-20,122.0,122.0,118.2,118.25,118.45
NTPC,2021-07-20,122.0,122.0,118.2,118.25,118.45
NTPC,2021-07-22,118.75,119.7,118.55,119.0,119.2
NTPC,2021-07-23,119.4,120.1,118.3,118.65,118.5
NTPC,2021-07-26,118.2,120.0,118.05,119.3,119.35
NTPC,2021-07-27,119.3,119.6,118.2,118.7,118.85
NTPC,2021-07-28,119.55,119.55,115.8,116.55,116.8
