COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
OCCL,2021-07-01,1069.85,1069.85,1040.0,1052.0,1048.9
OCCL,2021-07-02,1060.0,1070.0,1043.5,1052.5,1050.05
OCCL,2021-07-05,1070.0,1093.5,1051.9,1060.0,1059.5
OCCL,2021-07-06,1061.0,1072.05,1049.75,1050.1,1053.25
OCCL,2021-07-07,1054.0,1061.6,1045.4,1053.0,1053.35
OCCL,2021-07-08,1054.0,1054.0,1036.35,1040.0,1042.3
OCCL,2021-07-09,1044.0,1048.55,1021.25,1040.0,1042.25
OCCL,2021-07-12,1048.0,1048.05,1016.15,1026.0,1025.15
OCCL,2021-07-13,1039.0,1045.0,1021.0,1039.0,1039.85
OCCL,2021-07-14,1039.85,1123.6,1038.15,1073.0,1074.95
OCCL,2021-07-15,1088.95,1118.95,1065.7,1078.0,1077.4
OCCL,2021-07-16,1077.0,1124.6,1075.4,1117.8,1111.35
OCCL,2021-07-19,1111.35,1130.0,1088.1,1092.0,1095.4
OCCL,2021-07-20,1091.0,1102.15,1068.0,1075.0,1075.95
OCCL,2021-07-20,1091.0,1102.15,1068.0,1075.0,1075.95
OCCL,2021-07-22,1077.3,1097.75,1039.85,1058.0,1060.3
OCCL,2021-07-23,1084.25,1089.45,1058.55,1070.0,1074.6
OCCL,2021-07-26,1080.0,1109.9,1065.0,1075.0,1077.35
OCCL,2021-07-27,1073.25,1130.0,1073.25,1087.0,1091.8
OCCL,2021-07-28,1100.0,1142.0,1075.0,1122.0,1123.7
