COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
OMAXAUTO,2021-07-01,63.0,64.85,62.25,63.35,63.7
OMAXAUTO,2021-07-02,64.5,64.7,61.5,62.35,62.35
OMAXAUTO,2021-07-05,62.9,65.2,62.55,63.65,64.25
OMAXAUTO,2021-07-06,64.0,66.8,61.9,62.5,62.25
OMAXAUTO,2021-07-07,62.95,66.0,62.95,63.5,64.1
OMAXAUTO,2021-07-08,65.45,65.7,61.6,62.4,62.0
OMAXAUTO,2021-07-09,62.9,63.85,62.0,63.0,62.6
OMAXAUTO,2021-07-12,62.6,69.4,62.6,66.15,66.2
OMAXAUTO,2021-07-13,66.3,72.65,65.2,70.2,70.85
OMAXAUTO,2021-07-14,70.95,73.75,70.0,71.35,71.4
OMAXAUTO,2021-07-15,73.3,73.3,68.1,69.15,69.0
OMAXAUTO,2021-07-16,69.0,71.6,67.3,69.7,69.75
OMAXAUTO,2021-07-19,69.25,70.1,67.35,68.65,68.8
