COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
ONGC,2021-07-01,117.75,119.75,117.3,118.9,118.85
ONGC,2021-07-02,120.0,120.85,118.0,118.9,118.45
ONGC,2021-07-05,119.15,121.45,118.9,121.25,120.95
ONGC,2021-07-06,123.0,125.0,121.05,121.6,121.5
ONGC,2021-07-07,119.9,120.4,117.8,120.1,119.9
ONGC,2021-07-08,119.4,119.4,116.85,117.1,117.05
ONGC,2021-07-09,117.1,118.65,116.6,118.1,117.9
ONGC,2021-07-12,119.0,119.35,118.0,118.45,118.55
ONGC,2021-07-13,119.0,120.8,118.6,120.7,120.4
ONGC,2021-07-14,120.3,121.75,120.1,120.45,120.8
ONGC,2021-07-15,119.2,119.4,116.2,117.1,116.9
ONGC,2021-07-16,117.2,117.4,115.75,116.55,116.8
ONGC,2021-07-19,114.8,116.55,114.2,114.7,114.6
ONGC,2021-07-20,112.05,113.25,111.6,112.65,112.6
ONGC,2021-07-20,112.05,113.25,111.6,112.65,112.6
ONGC,2021-07-22,114.4,115.8,113.95,115.4,115.5
ONGC,2021-07-23,115.5,116.75,114.75,115.15,115.3
ONGC,2021-07-26,114.85,115.6,114.1,114.9,114.55
ONGC,2021-07-27,115.35,115.9,114.0,114.7,114.65
ONGC,2021-07-28,114.9,115.2,113.45,114.3,114.35
