COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
ORIENTALTL,2021-07-01,12.4,12.45,11.75,12.0,12.0
ORIENTALTL,2021-07-02,12.45,12.45,11.9,12.1,12.05
ORIENTALTL,2021-07-05,12.4,12.4,11.9,12.0,11.95
ORIENTALTL,2021-07-06,12.3,12.3,11.9,11.95,11.95
ORIENTALTL,2021-07-07,12.25,12.25,11.65,11.85,11.75
ORIENTALTL,2021-07-08,11.75,12.05,11.55,11.85,11.8
ORIENTALTL,2021-07-09,11.9,12.05,11.5,11.7,11.7
ORIENTALTL,2021-07-12,11.7,11.9,11.15,11.8,11.5
ORIENTALTL,2021-07-13,11.7,11.7,11.3,11.3,11.35
ORIENTALTL,2021-07-14,11.6,11.6,11.0,11.35,11.25
ORIENTALTL,2021-07-15,11.45,11.5,10.8,11.1,11.0
ORIENTALTL,2021-07-16,10.8,11.4,10.6,11.2,11.2
ORIENTALTL,2021-07-19,11.75,11.75,10.6,11.5,11.45
ORIENTALTL,2021-07-20,11.6,12.2,10.75,11.35,11.25
ORIENTALTL,2021-07-20,11.6,12.2,10.75,11.35,11.25
ORIENTALTL,2021-07-22,11.5,11.95,11.15,11.15,11.25
ORIENTALTL,2021-07-23,11.65,11.65,10.9,11.0,11.0
ORIENTALTL,2021-07-26,11.45,11.45,10.6,10.85,10.7
ORIENTALTL,2021-07-27,11.15,11.3,10.6,10.75,10.75
ORIENTALTL,2021-07-28,11.15,11.5,10.35,10.65,10.5
