COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
ORIENTCEM,2021-07-01,137.55,138.8,135.55,136.7,136.5
ORIENTCEM,2021-07-02,137.5,138.8,136.5,138.0,138.05
ORIENTCEM,2021-07-05,140.0,146.0,139.05,143.65,143.8
ORIENTCEM,2021-07-06,145.75,151.45,144.45,145.5,146.65
ORIENTCEM,2021-07-07,147.0,149.65,145.5,146.5,146.1
ORIENTCEM,2021-07-08,146.35,147.75,141.0,143.8,143.75
ORIENTCEM,2021-07-09,144.55,145.0,140.2,143.0,143.5
ORIENTCEM,2021-07-12,144.6,150.0,144.15,146.9,146.75
ORIENTCEM,2021-07-13,148.9,152.45,146.75,147.05,147.2
ORIENTCEM,2021-07-14,149.0,149.0,144.0,144.8,144.65
ORIENTCEM,2021-07-15,145.85,149.05,144.7,146.5,146.1
ORIENTCEM,2021-07-16,147.05,148.35,144.5,146.0,145.5
ORIENTCEM,2021-07-19,145.0,151.85,144.5,148.9,148.95
ORIENTCEM,2021-07-20,150.45,154.0,149.0,150.5,151.15
ORIENTCEM,2021-07-20,150.45,154.0,149.0,150.5,151.15
ORIENTCEM,2021-07-22,155.0,156.6,151.55,153.3,153.5
ORIENTCEM,2021-07-23,154.8,154.8,149.55,151.55,151.75
ORIENTCEM,2021-07-26,154.9,155.7,150.3,152.0,151.95
ORIENTCEM,2021-07-27,154.0,156.4,150.45,152.45,152.4
ORIENTCEM,2021-07-28,151.5,154.4,149.7,150.5,150.75
