COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
ORIENTPPR,2021-07-01,30.35,31.9,30.1,30.35,30.25
ORIENTPPR,2021-07-02,30.5,30.9,29.85,30.1,30.15
ORIENTPPR,2021-07-05,30.3,31.15,30.15,30.45,30.5
ORIENTPPR,2021-07-06,30.35,30.7,29.25,29.5,29.45
ORIENTPPR,2021-07-07,30.5,33.4,30.5,32.3,32.35
ORIENTPPR,2021-07-08,32.5,32.75,30.8,31.25,31.15
ORIENTPPR,2021-07-09,31.25,31.8,30.55,31.0,30.95
ORIENTPPR,2021-07-12,31.55,31.55,30.55,30.75,30.65
ORIENTPPR,2021-07-13,30.95,31.6,30.7,30.85,30.75
ORIENTPPR,2021-07-14,30.7,31.25,30.4,30.5,30.55
ORIENTPPR,2021-07-15,30.75,30.85,29.75,30.0,29.9
ORIENTPPR,2021-07-16,30.15,30.45,29.75,29.8,29.9
ORIENTPPR,2021-07-19,29.5,30.3,29.3,29.9,29.85
ORIENTPPR,2021-07-20,30.1,30.2,28.8,28.95,28.9
ORIENTPPR,2021-07-20,30.1,30.2,28.8,28.95,28.9
ORIENTPPR,2021-07-22,29.05,29.6,28.9,28.95,29.0
ORIENTPPR,2021-07-23,28.95,29.35,28.65,28.8,28.8
ORIENTPPR,2021-07-26,28.85,29.2,28.25,28.45,28.4
ORIENTPPR,2021-07-27,28.7,30.2,28.45,29.0,29.1
ORIENTPPR,2021-07-28,29.2,31.1,28.25,30.75,30.45
