COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
PAISALO,2021-07-01,606.5,615.0,580.0,608.7,601.2
PAISALO,2021-07-02,613.0,613.0,600.0,609.0,604.55
PAISALO,2021-07-05,609.0,612.0,599.95,601.1,602.95
PAISALO,2021-07-06,608.0,609.0,595.0,603.0,603.45
PAISALO,2021-07-07,604.9,615.0,598.8,615.0,613.1
PAISALO,2021-07-08,623.95,640.0,614.0,622.85,618.25
PAISALO,2021-07-09,629.95,629.95,607.5,610.0,613.4
PAISALO,2021-07-12,615.0,712.0,612.1,699.0,691.1
PAISALO,2021-07-13,703.0,710.0,668.95,670.0,675.6
PAISALO,2021-07-14,671.55,675.0,633.55,645.0,663.9
PAISALO,2021-07-15,654.6,686.7,645.0,659.0,660.4
PAISALO,2021-07-16,666.65,680.0,652.35,665.0,661.85
PAISALO,2021-07-19,663.85,692.5,650.5,675.0,667.65
PAISALO,2021-07-20,670.6,685.0,652.9,654.7,656.55
PAISALO,2021-07-20,670.6,685.0,652.9,654.7,656.55
PAISALO,2021-07-22,668.8,680.0,655.0,680.0,670.3
PAISALO,2021-07-23,679.0,693.3,661.0,675.15,683.35
PAISALO,2021-07-26,680.35,698.0,665.6,673.15,676.95
PAISALO,2021-07-27,676.95,684.7,652.05,657.8,659.25
PAISALO,2021-07-28,660.0,667.1,644.05,655.0,654.65
