COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
PANACHE,2021-07-01,61.0,61.45,60.0,60.0,60.1
PANACHE,2021-07-02,61.0,72.1,61.0,72.1,72.1
PANACHE,2021-07-05,82.5,86.5,82.5,86.5,86.5
PANACHE,2021-07-06,91.0,94.8,78.25,82.0,80.2
PANACHE,2021-07-07,82.0,86.0,80.1,82.0,82.15
PANACHE,2021-07-08,84.95,84.95,79.2,80.4,80.35
PANACHE,2021-07-09,82.8,82.8,80.0,81.0,81.05
PANACHE,2021-07-12,80.95,85.0,76.85,82.0,82.1
PANACHE,2021-07-13,83.5,85.15,82.0,83.9,83.15
PANACHE,2021-07-14,82.1,84.15,81.0,81.0,81.5
PANACHE,2021-07-15,83.2,83.35,78.0,79.05,79.8
PANACHE,2021-07-16,78.4,82.3,72.0,77.5,78.0
PANACHE,2021-07-19,75.85,82.0,75.85,79.8,79.25
