COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
PARSVNATH,2021-07-01,13.65,13.85,13.55,13.55,13.55
PARSVNATH,2021-07-02,12.9,13.0,12.9,12.9,12.9
PARSVNATH,2021-07-05,12.55,13.45,12.3,12.7,12.9
PARSVNATH,2021-07-06,13.3,13.3,12.3,12.3,12.5
PARSVNATH,2021-07-07,12.0,12.5,12.0,12.15,12.15
PARSVNATH,2021-07-08,12.2,12.2,11.55,11.55,11.6
PARSVNATH,2021-07-09,11.8,12.15,11.05,12.15,12.15
PARSVNATH,2021-07-12,12.7,12.75,12.25,12.7,12.75
PARSVNATH,2021-07-13,12.75,13.35,12.75,13.35,13.35
PARSVNATH,2021-07-14,14.0,14.0,13.8,14.0,14.0
PARSVNATH,2021-07-15,14.7,14.7,14.2,14.7,14.7
PARSVNATH,2021-07-16,15.4,15.4,14.5,15.4,15.4
PARSVNATH,2021-07-19,15.7,16.15,15.7,16.15,16.15
PARSVNATH,2021-07-20,16.95,16.95,15.55,16.95,16.95
PARSVNATH,2021-07-20,16.95,16.95,15.55,16.95,16.95
PARSVNATH,2021-07-22,17.75,17.75,17.3,17.75,17.75
PARSVNATH,2021-07-23,18.6,18.6,18.6,18.6,18.6
PARSVNATH,2021-07-26,19.5,19.5,17.7,17.95,18.0
PARSVNATH,2021-07-27,18.3,18.8,17.1,17.1,17.1
PARSVNATH,2021-07-28,17.05,17.05,16.25,16.25,16.25
