COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
PATELENG,2021-07-01,18.45,18.75,18.4,18.5,18.5
PATELENG,2021-07-02,18.6,19.35,18.4,18.8,18.75
PATELENG,2021-07-05,19.0,19.75,18.8,19.25,19.3
PATELENG,2021-07-06,19.3,19.55,18.35,18.7,18.55
PATELENG,2021-07-07,18.55,19.1,18.5,18.65,18.55
PATELENG,2021-07-08,18.9,19.2,18.25,18.5,18.4
PATELENG,2021-07-09,18.4,19.05,18.15,18.5,18.4
PATELENG,2021-07-12,18.7,19.45,18.55,18.95,18.9
PATELENG,2021-07-13,19.05,19.75,18.85,18.9,19.0
PATELENG,2021-07-14,19.15,19.45,18.9,19.0,19.15
PATELENG,2021-07-15,19.4,19.6,19.05,19.2,19.3
PATELENG,2021-07-16,19.45,19.45,18.85,19.0,18.9
PATELENG,2021-07-19,18.7,18.95,18.3,18.45,18.4
PATELENG,2021-07-20,18.5,18.5,17.0,17.6,17.55
PATELENG,2021-07-20,18.5,18.5,17.0,17.6,17.55
PATELENG,2021-07-22,17.9,17.95,17.3,17.65,17.65
PATELENG,2021-07-23,17.65,17.8,17.05,17.2,17.15
PATELENG,2021-07-26,17.2,17.8,17.05,17.1,17.1
PATELENG,2021-07-27,17.2,17.4,16.65,16.85,16.75
PATELENG,2021-07-28,16.85,16.9,15.85,16.3,16.3
