COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
PENIND,2021-07-01,26.95,31.95,26.65,31.4,31.5
PENIND,2021-07-02,31.45,33.1,30.75,31.85,32.2
PENIND,2021-07-05,32.0,34.4,30.8,33.15,33.25
PENIND,2021-07-06,33.0,34.8,31.1,31.75,31.6
PENIND,2021-07-07,31.9,33.8,30.85,32.7,32.95
PENIND,2021-07-08,33.3,33.4,31.0,31.3,31.45
PENIND,2021-07-09,31.4,32.7,30.85,31.8,31.9
PENIND,2021-07-12,32.4,33.0,31.4,32.15,32.0
PENIND,2021-07-13,32.15,36.65,31.6,35.55,35.35
PENIND,2021-07-14,36.2,36.4,34.7,34.95,34.9
PENIND,2021-07-15,35.15,36.4,33.5,35.7,35.85
PENIND,2021-07-16,36.7,38.45,35.65,36.35,36.65
PENIND,2021-07-19,35.9,37.0,35.25,35.5,35.55
PENIND,2021-07-20,35.55,36.35,33.6,34.1,34.25
PENIND,2021-07-20,35.55,36.35,33.6,34.1,34.25
PENIND,2021-07-22,34.9,37.8,34.45,37.4,37.45
PENIND,2021-07-23,37.85,39.05,36.7,38.65,38.7
PENIND,2021-07-26,40.0,40.0,38.1,38.2,38.2
PENIND,2021-07-27,38.7,40.0,38.1,39.2,39.3
PENIND,2021-07-28,39.65,39.9,36.6,38.2,37.95
