COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
PLASTIBLEN,2021-07-01,268.0,269.65,263.0,264.0,263.45
PLASTIBLEN,2021-07-02,265.9,273.3,262.55,271.0,265.95
PLASTIBLEN,2021-07-05,273.0,277.5,268.05,269.1,270.15
PLASTIBLEN,2021-07-06,273.0,277.0,265.55,269.4,267.55
PLASTIBLEN,2021-07-07,270.6,270.6,263.35,264.5,265.8
PLASTIBLEN,2021-07-08,263.55,272.95,261.25,264.0,262.65
PLASTIBLEN,2021-07-09,268.0,274.0,263.05,268.25,266.75
PLASTIBLEN,2021-07-12,268.95,285.0,266.8,279.0,279.15
PLASTIBLEN,2021-07-13,281.85,283.0,270.0,273.65,274.65
PLASTIBLEN,2021-07-14,276.9,292.0,276.05,283.75,285.45
PLASTIBLEN,2021-07-15,287.0,295.85,286.0,289.15,289.25
PLASTIBLEN,2021-07-16,285.5,289.1,274.5,276.0,276.1
PLASTIBLEN,2021-07-19,272.0,282.0,266.0,273.5,272.75
PLASTIBLEN,2021-07-20,270.1,270.1,256.1,260.0,260.65
PLASTIBLEN,2021-07-20,270.1,270.1,256.1,260.0,260.65
PLASTIBLEN,2021-07-22,261.2,266.15,256.6,261.85,259.05
PLASTIBLEN,2021-07-23,261.0,264.0,259.9,264.0,262.4
PLASTIBLEN,2021-07-26,259.9,266.7,259.9,266.0,265.6
PLASTIBLEN,2021-07-27,266.5,266.5,256.85,256.85,257.8
PLASTIBLEN,2021-07-28,259.0,259.75,252.55,256.95,255.25
