COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
PNB,2021-07-01,42.4,42.75,42.15,42.45,42.35
PNB,2021-07-02,42.55,42.7,41.9,42.15,42.1
PNB,2021-07-05,42.4,42.45,41.95,42.25,42.3
PNB,2021-07-06,42.2,42.85,41.5,41.7,41.85
PNB,2021-07-07,41.8,42.05,41.55,41.8,41.7
PNB,2021-07-08,41.8,42.25,40.9,41.2,41.05
PNB,2021-07-09,41.1,41.2,40.85,41.0,41.0
PNB,2021-07-12,41.1,41.45,40.8,40.85,40.9
PNB,2021-07-13,41.05,41.25,40.85,40.95,40.9
PNB,2021-07-14,41.0,41.1,40.55,40.6,40.7
PNB,2021-07-15,40.8,40.9,40.3,40.4,40.35
PNB,2021-07-16,40.4,41.2,40.3,40.75,40.85
PNB,2021-07-19,40.5,40.7,40.1,40.3,40.3
PNB,2021-07-20,40.15,40.4,39.45,39.75,39.75
PNB,2021-07-20,40.15,40.4,39.45,39.75,39.75
PNB,2021-07-22,40.45,40.6,39.9,40.0,40.0
PNB,2021-07-23,40.1,40.3,39.7,39.85,40.05
PNB,2021-07-26,39.95,40.15,39.25,39.4,39.35
PNB,2021-07-27,39.5,40.0,39.05,39.1,39.15
PNB,2021-07-28,39.2,39.3,38.1,38.4,38.4
