COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
PODDARMENT,2021-07-01,258.0,266.6,256.5,262.05,262.95
PODDARMENT,2021-07-02,260.05,276.0,260.05,268.95,267.05
PODDARMENT,2021-07-05,269.05,269.3,262.7,267.7,264.8
PODDARMENT,2021-07-06,265.0,280.0,265.0,273.45,270.8
PODDARMENT,2021-07-07,271.0,312.3,269.05,305.85,302.05
PODDARMENT,2021-07-08,303.0,307.75,287.1,296.0,294.35
PODDARMENT,2021-07-09,296.1,323.0,291.05,317.45,318.15
PODDARMENT,2021-07-12,319.4,325.15,310.2,314.8,314.8
PODDARMENT,2021-07-13,317.05,319.9,311.05,315.65,317.2
PODDARMENT,2021-07-14,318.55,319.0,303.75,315.0,314.6
PODDARMENT,2021-07-15,312.85,317.2,307.25,307.25,309.9
PODDARMENT,2021-07-16,312.0,317.15,304.95,315.0,312.4
PODDARMENT,2021-07-19,313.0,374.85,313.0,374.85,371.15
PODDARMENT,2021-07-20,376.5,413.35,356.15,388.0,385.15
PODDARMENT,2021-07-20,376.5,413.35,356.15,388.0,385.15
PODDARMENT,2021-07-22,393.0,426.9,393.0,412.8,413.4
PODDARMENT,2021-07-23,417.6,424.0,400.1,408.25,407.1
PODDARMENT,2021-07-26,429.9,433.85,420.8,423.5,422.9
PODDARMENT,2021-07-27,426.8,431.5,410.1,416.1,418.05
PODDARMENT,2021-07-28,419.9,419.9,399.0,408.8,406.2
