COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
POWERGRID,2021-07-01,232.55,232.95,230.2,230.8,230.8
POWERGRID,2021-07-02,230.8,231.1,227.6,228.0,227.95
POWERGRID,2021-07-05,229.3,230.9,228.35,230.15,230.3
POWERGRID,2021-07-06,229.4,230.5,228.3,228.95,228.8
POWERGRID,2021-07-07,228.8,231.45,228.8,231.4,230.95
POWERGRID,2021-07-08,230.1,233.15,229.55,231.0,231.15
POWERGRID,2021-07-09,231.05,231.45,230.0,230.25,230.25
POWERGRID,2021-07-12,230.7,231.75,228.2,229.05,229.0
POWERGRID,2021-07-13,230.4,231.9,228.3,228.9,228.65
POWERGRID,2021-07-14,228.65,231.45,228.45,230.15,229.95
POWERGRID,2021-07-15,231.0,231.45,229.3,230.35,230.4
POWERGRID,2021-07-16,231.65,236.5,230.5,233.5,233.85
POWERGRID,2021-07-19,233.85,234.65,231.5,233.7,233.15
POWERGRID,2021-07-20,234.9,236.3,230.95,231.3,231.3
POWERGRID,2021-07-20,234.9,236.3,230.95,231.3,231.3
POWERGRID,2021-07-22,234.5,234.5,228.7,232.95,233.25
POWERGRID,2021-07-23,233.75,233.95,232.05,233.15,233.0
POWERGRID,2021-07-26,233.45,235.35,232.05,233.15,232.7
POWERGRID,2021-07-27,233.0,234.85,230.65,231.5,231.85
POWERGRID,2021-07-28,232.0,232.4,227.4,227.7,228.1
