COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
POWERMECH,2021-07-01,758.9,899.3,751.85,899.3,899.3
POWERMECH,2021-07-02,914.0,922.0,835.4,844.2,841.5
POWERMECH,2021-07-05,847.7,892.9,845.0,867.0,862.5
POWERMECH,2021-07-06,872.0,882.0,822.5,825.2,827.3
POWERMECH,2021-07-07,833.7,856.35,820.45,828.2,830.4
POWERMECH,2021-07-08,834.8,844.5,816.05,822.55,820.2
POWERMECH,2021-07-09,827.8,839.95,815.0,818.5,818.05
POWERMECH,2021-07-12,828.7,835.35,816.55,821.05,821.35
POWERMECH,2021-07-13,828.55,829.45,812.2,819.5,819.45
POWERMECH,2021-07-14,820.4,850.0,816.85,839.0,841.15
POWERMECH,2021-07-15,841.9,847.95,825.0,836.5,831.45
POWERMECH,2021-07-16,838.0,838.0,815.4,820.55,818.6
POWERMECH,2021-07-19,811.0,818.95,805.0,810.0,808.3
POWERMECH,2021-07-20,803.0,813.1,785.65,789.9,789.9
POWERMECH,2021-07-20,803.0,813.1,785.65,789.9,789.9
POWERMECH,2021-07-22,818.0,818.0,781.0,784.2,785.65
POWERMECH,2021-07-23,794.0,815.0,785.0,798.0,802.75
POWERMECH,2021-07-26,808.4,808.4,793.0,793.3,798.35
POWERMECH,2021-07-27,799.4,805.85,785.0,785.5,789.85
POWERMECH,2021-07-28,799.9,799.9,777.95,779.95,781.2
