COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
PPL,2021-07-01,182.0,188.9,182.0,184.7,184.45
PPL,2021-07-02,186.0,186.9,181.75,182.95,182.8
PPL,2021-07-05,185.2,185.2,179.0,180.7,180.9
PPL,2021-07-06,179.2,184.9,175.8,177.5,177.0
PPL,2021-07-07,177.6,183.0,175.15,178.0,177.85
PPL,2021-07-08,178.9,179.7,176.3,177.85,177.85
PPL,2021-07-09,175.0,179.4,175.0,178.3,178.05
PPL,2021-07-12,179.0,179.0,177.55,178.1,177.95
PPL,2021-07-13,178.15,181.7,173.1,174.0,173.7
PPL,2021-07-14,175.0,175.0,170.05,172.35,171.55
PPL,2021-07-15,172.5,178.4,171.0,175.2,175.3
PPL,2021-07-16,176.35,177.65,171.9,173.45,172.7
PPL,2021-07-19,173.35,179.55,172.25,175.5,173.75
PPL,2021-07-20,175.0,175.1,168.3,171.2,170.95
PPL,2021-07-20,175.0,175.1,168.3,171.2,170.95
PPL,2021-07-22,173.85,173.9,169.5,171.6,171.25
PPL,2021-07-23,173.5,173.6,170.7,172.4,172.0
PPL,2021-07-26,172.0,175.8,171.65,173.2,173.05
PPL,2021-07-27,173.0,175.5,171.0,172.5,172.55
PPL,2021-07-28,174.35,174.35,169.0,170.4,170.1
