COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
PRECAM,2021-07-01,76.05,77.4,75.0,76.5,75.8
PRECAM,2021-07-02,76.5,78.4,74.85,75.2,75.7
PRECAM,2021-07-05,76.45,84.5,75.95,83.4,82.95
PRECAM,2021-07-06,83.3,87.8,80.85,82.5,82.85
PRECAM,2021-07-07,82.55,88.0,82.0,85.0,85.15
PRECAM,2021-07-08,85.5,91.0,83.4,86.4,86.65
PRECAM,2021-07-09,88.0,94.0,87.55,92.0,91.4
PRECAM,2021-07-12,92.9,95.5,89.4,89.5,89.9
PRECAM,2021-07-13,90.6,91.65,85.5,87.1,86.65
PRECAM,2021-07-14,87.15,93.95,85.0,89.6,89.15
PRECAM,2021-07-15,89.8,93.7,89.3,91.7,91.05
PRECAM,2021-07-16,91.75,93.6,90.25,92.4,91.95
PRECAM,2021-07-19,90.0,91.2,87.0,90.4,88.6
PRECAM,2021-07-20,88.6,103.3,82.55,100.7,100.1
PRECAM,2021-07-20,88.6,103.3,82.55,100.7,100.1
PRECAM,2021-07-22,105.7,108.5,102.0,104.25,104.25
PRECAM,2021-07-23,105.0,105.45,98.1,101.95,102.5
PRECAM,2021-07-26,103.15,110.0,101.0,108.95,109.5
PRECAM,2021-07-27,109.75,109.75,103.4,106.8,106.85
PRECAM,2021-07-28,106.85,107.5,100.1,102.0,102.75
