COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
PRESTIGE,2021-07-01,290.0,292.2,284.0,285.55,285.05
PRESTIGE,2021-07-02,286.5,290.95,284.2,285.45,284.85
PRESTIGE,2021-07-05,289.0,290.45,286.0,289.15,289.25
PRESTIGE,2021-07-06,293.1,293.8,286.65,288.75,288.2
PRESTIGE,2021-07-07,289.8,295.85,286.0,287.55,287.5
PRESTIGE,2021-07-08,289.9,291.1,285.0,289.75,289.1
PRESTIGE,2021-07-09,291.0,299.75,290.45,296.55,296.35
PRESTIGE,2021-07-12,299.0,306.85,298.0,303.9,304.2
PRESTIGE,2021-07-13,310.0,313.0,301.6,303.5,303.6
PRESTIGE,2021-07-14,304.5,305.9,298.8,301.3,300.25
PRESTIGE,2021-07-15,302.0,325.95,300.25,317.0,318.35
PRESTIGE,2021-07-16,319.0,334.4,311.5,329.0,329.65
PRESTIGE,2021-07-19,324.4,348.45,322.0,335.5,336.5
PRESTIGE,2021-07-20,338.0,341.8,324.0,328.0,329.05
PRESTIGE,2021-07-20,338.0,341.8,324.0,328.0,329.05
PRESTIGE,2021-07-22,334.6,347.9,331.25,345.2,344.4
PRESTIGE,2021-07-23,346.65,356.0,340.25,349.5,348.8
PRESTIGE,2021-07-26,348.65,357.0,338.85,343.0,342.55
PRESTIGE,2021-07-27,344.3,352.0,333.0,337.95,336.4
PRESTIGE,2021-07-28,339.25,339.6,326.25,334.05,330.7
