COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
PTC,2021-07-01,103.9,104.35,103.1,103.4,103.35
PTC,2021-07-02,103.6,103.9,102.7,103.0,102.9
PTC,2021-07-05,103.1,104.25,102.15,102.7,102.45
PTC,2021-07-06,103.35,103.35,102.0,102.5,102.45
PTC,2021-07-07,102.0,102.9,101.7,102.3,102.25
PTC,2021-07-08,102.65,104.0,101.6,101.9,102.0
PTC,2021-07-09,101.95,102.0,100.5,101.2,100.85
PTC,2021-07-12,101.0,102.0,100.25,100.6,100.55
PTC,2021-07-13,101.7,101.7,100.0,100.3,100.15
PTC,2021-07-14,100.3,103.0,100.3,101.7,101.95
PTC,2021-07-15,103.4,104.9,102.05,103.0,103.15
PTC,2021-07-16,103.5,104.9,102.8,103.6,103.6
PTC,2021-07-19,102.1,103.6,100.6,101.9,101.8
PTC,2021-07-20,101.55,103.6,98.6,99.95,99.5
PTC,2021-07-20,101.55,103.6,98.6,99.95,99.5
PTC,2021-07-22,99.6,101.6,99.5,100.5,100.25
PTC,2021-07-23,101.0,101.0,99.45,99.85,99.6
PTC,2021-07-26,99.5,101.5,99.0,99.4,99.3
PTC,2021-07-27,99.05,99.8,97.5,97.9,97.75
PTC,2021-07-28,98.0,98.8,95.0,96.65,96.6
