COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
RAMASTEEL,2021-07-01,137.6,137.6,133.25,137.6,137.6
RAMASTEEL,2021-07-02,144.45,144.45,144.45,144.45,144.45
RAMASTEEL,2021-07-05,151.65,151.65,150.25,151.65,151.65
RAMASTEEL,2021-07-06,159.2,159.2,144.1,156.0,155.4
RAMASTEEL,2021-07-07,149.05,154.0,147.65,147.65,147.65
RAMASTEEL,2021-07-08,140.3,140.3,140.3,140.3,140.3
RAMASTEEL,2021-07-09,133.3,133.3,133.3,133.3,133.3
RAMASTEEL,2021-07-12,126.65,139.95,126.65,139.95,139.95
RAMASTEEL,2021-07-13,146.9,146.9,137.15,146.9,146.9
RAMASTEEL,2021-07-14,154.15,154.2,146.9,148.5,150.15
RAMASTEEL,2021-07-15,152.9,157.6,142.65,146.9,146.2
RAMASTEEL,2021-07-16,146.9,147.0,142.0,143.05,144.0
RAMASTEEL,2021-07-19,140.5,146.0,136.8,137.05,137.7
