COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
RANASUG,2021-07-01,31.0,31.6,29.55,31.6,31.6
RANASUG,2021-07-02,33.15,33.15,33.15,33.15,33.15
RANASUG,2021-07-05,34.8,34.8,34.8,34.8,34.8
RANASUG,2021-07-06,36.5,36.5,33.1,33.1,34.0
RANASUG,2021-07-07,32.3,32.3,32.3,32.3,32.3
RANASUG,2021-07-08,30.7,33.9,30.7,32.95,32.95
RANASUG,2021-07-09,33.2,34.55,32.55,34.55,34.55
RANASUG,2021-07-12,36.25,36.25,36.25,36.25,36.25
RANASUG,2021-07-13,38.05,38.05,35.15,38.0,37.7
RANASUG,2021-07-14,37.95,38.3,35.85,35.85,35.85
RANASUG,2021-07-15,34.35,35.85,34.1,34.1,34.1
RANASUG,2021-07-16,33.4,33.7,32.4,32.4,32.4
RANASUG,2021-07-19,30.85,34.0,30.8,34.0,33.95
