COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
RBL,2021-07-01,921.65,949.0,918.8,938.0,935.5
RBL,2021-07-02,941.0,945.0,921.35,934.5,935.3
RBL,2021-07-05,944.9,944.9,922.65,931.0,933.95
RBL,2021-07-06,943.9,943.9,911.0,913.0,915.05
RBL,2021-07-07,928.0,940.0,916.65,933.0,931.75
RBL,2021-07-08,940.0,946.0,906.6,935.1,935.55
RBL,2021-07-09,933.0,938.8,915.95,932.0,928.5
RBL,2021-07-12,948.0,981.45,933.5,953.6,955.2
RBL,2021-07-13,970.0,1146.2,944.15,1146.2,1146.2
RBL,2021-07-14,1169.0,1209.0,1047.0,1061.75,1058.7
RBL,2021-07-15,1067.7,1106.0,1055.55,1086.0,1090.95
RBL,2021-07-16,1091.0,1095.0,1063.0,1068.95,1069.5
RBL,2021-07-19,1050.0,1084.0,1030.0,1044.9,1043.3
RBL,2021-07-20,1043.35,1059.0,990.55,1016.0,1007.05
RBL,2021-07-20,1043.35,1059.0,990.55,1016.0,1007.05
RBL,2021-07-22,1024.95,1045.0,1005.0,1005.0,1019.15
RBL,2021-07-23,1025.0,1069.0,1012.0,1029.0,1034.3
RBL,2021-07-26,1035.0,1083.95,1002.4,1038.7,1026.9
RBL,2021-07-27,1030.0,1046.05,981.0,981.0,1004.85
RBL,2021-07-28,1010.0,1014.9,971.25,998.0,985.8
