COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
RKDL,2021-07-01,12.6,12.65,12.3,12.35,12.4
RKDL,2021-07-02,12.5,13.0,12.3,12.8,12.85
RKDL,2021-07-05,12.95,12.95,12.35,12.7,12.7
RKDL,2021-07-06,12.65,12.95,12.4,12.6,12.5
RKDL,2021-07-07,12.5,12.55,12.1,12.2,12.25
RKDL,2021-07-08,12.25,13.1,12.2,12.9,12.85
RKDL,2021-07-09,12.9,13.2,12.55,13.15,13.05
RKDL,2021-07-12,12.8,13.35,12.65,12.9,12.85
RKDL,2021-07-13,13.0,13.2,12.65,12.8,12.7
RKDL,2021-07-14,12.95,13.95,12.35,13.95,13.95
RKDL,2021-07-15,14.25,14.25,13.2,13.2,13.45
RKDL,2021-07-16,13.55,13.55,12.8,13.0,12.95
RKDL,2021-07-19,13.0,14.2,12.5,14.2,14.2
RKDL,2021-07-20,14.5,15.6,14.5,15.6,15.6
RKDL,2021-07-20,14.5,15.6,14.5,15.6,15.6
RKDL,2021-07-22,15.95,17.15,15.6,17.15,17.15
RKDL,2021-07-23,17.75,18.85,17.5,18.85,18.85
RKDL,2021-07-26,19.4,19.7,17.95,17.95,17.95
RKDL,2021-07-27,17.5,17.9,17.1,17.1,17.1
RKDL,2021-07-28,16.3,16.5,16.25,16.25,16.25
