COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
RKFORGE,2021-07-01,665.0,699.95,664.0,693.0,690.9
RKFORGE,2021-07-02,701.9,701.9,686.05,693.5,693.8
RKFORGE,2021-07-05,705.0,729.95,703.15,723.95,721.45
RKFORGE,2021-07-06,730.0,730.0,707.5,708.1,710.5
RKFORGE,2021-07-07,719.95,728.0,707.85,722.5,722.05
RKFORGE,2021-07-08,724.9,729.0,701.55,715.1,714.9
RKFORGE,2021-07-09,714.9,730.7,700.8,725.0,721.8
RKFORGE,2021-07-12,728.8,742.75,726.5,736.0,736.2
RKFORGE,2021-07-13,741.0,749.55,721.05,741.25,743.9
RKFORGE,2021-07-14,745.0,749.0,732.2,737.0,737.2
RKFORGE,2021-07-15,737.2,764.9,735.35,747.7,748.0
RKFORGE,2021-07-16,755.8,755.8,745.0,746.0,746.65
RKFORGE,2021-07-19,752.0,765.5,744.3,764.2,761.2
RKFORGE,2021-07-20,765.0,779.8,747.0,769.75,770.15
RKFORGE,2021-07-20,765.0,779.8,747.0,769.75,770.15
RKFORGE,2021-07-22,780.25,787.15,767.0,773.5,774.8
RKFORGE,2021-07-23,778.0,813.0,772.2,792.1,796.6
RKFORGE,2021-07-26,805.0,832.4,801.05,818.95,819.35
RKFORGE,2021-07-27,828.4,848.5,819.4,822.15,824.0
RKFORGE,2021-07-28,824.0,834.95,815.1,825.45,823.55
