COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
ROML,2021-07-01,91.5,91.5,80.65,83.05,83.75
ROML,2021-07-02,83.0,91.05,80.1,80.85,82.65
ROML,2021-07-05,84.0,86.35,82.2,83.25,82.7
ROML,2021-07-06,83.25,85.9,81.05,82.0,82.1
ROML,2021-07-07,80.55,83.2,80.5,80.9,80.65
ROML,2021-07-08,80.65,82.35,78.9,80.8,80.25
ROML,2021-07-09,78.0,84.0,78.0,83.05,83.75
ROML,2021-07-12,87.0,87.0,82.05,83.4,83.35
ROML,2021-07-13,83.35,85.05,81.0,82.95,82.5
ROML,2021-07-14,82.95,84.9,80.6,82.0,81.2
ROML,2021-07-15,82.0,82.0,79.55,80.75,80.8
ROML,2021-07-16,80.8,82.9,79.0,80.0,80.25
ROML,2021-07-19,81.0,81.05,78.1,79.5,79.15
ROML,2021-07-20,78.0,78.95,77.0,78.0,77.95
ROML,2021-07-20,78.0,78.95,77.0,78.0,77.95
ROML,2021-07-22,77.95,83.9,77.6,82.05,82.25
ROML,2021-07-23,82.25,82.9,78.8,80.1,79.35
ROML,2021-07-26,79.35,80.45,77.0,77.25,77.9
ROML,2021-07-27,81.6,81.6,77.4,79.9,79.4
ROML,2021-07-28,77.0,81.0,76.0,79.95,79.65
